n_c,fullerene_g6,dual_g6,depth_fullerene,depth_dual
106,~?@isP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????C????A?C??@_????G?????_?_??@?????B??????_?????G?????@??????E??????G??????G?G????C??????@???????G???????_??????@_??????@????????_?_?????G?G?????B????????K????????O????????O?G??????G????????B?????????W????????@_????????B?????????A?????????@??_???????O?????????@??????????C?C????????G??????????G??????????E??????????@???????????G?G?????????_??????????@???????????@????????????_???????????K???????????@_???????????B????????????E????????????C????????????A?C???????????_????????????E?????????????W?????????????o?????????????o?????????????O?????????????C?G????????????_@????????????A?C????????????C??????????????C??????????????B???????????????o??????????????A???????????????G???????????????O@??????????????O???????????????B?_??????????????o???????????????E????????????????K????????????????W????????????????K????????????????@C????????????????W????????????????@W,v|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@_@?@_@??o?_?K?G?@_@??E?C??G?G??[?G??E?C??@_@???K?G???o?_??@_@???@_@????o?_???K?G???@_@????E?C????K?G????G?G????M?C????@_@?????M?G?????W?_?????o@??????o@??????[?_?????B?G??????[@???????bC??????BwG???????No,4,5
106,~?@isP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O???@?C??E????E????B?????_????C?G???O????@_?????_?????O?????C?????@_?????A??????C??????C??????A???????_??????E???????O???????_@??????_@??????o???????K???????@????????C????????G?G??????W????????K????????B?????????W????????@?????????A?@???????A??????????_?????????G?G???????@??????????C??????????W??????????G??????????C??????????@???????????G???????????_??????????@???????????@_???????????o???????????E????????????o???????????A????????????E????????????E????????????B?????????????o????????????E?????????????W?????????????_?????????????_@????????????O?_???????????C?G????????????_?????????????A??????????????K??????????????C??????????????A?C?????????????_??????????????C???????????????O?_?????????????_???????????????K@??????????????E???????????????@????????????????K@???????????????W????????????????o????????????????W????????????????AC????????????????g????????????????@W,v|eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?o@?E?G?O?_@o@??_@??o?_?K?G?@_@??C?C??[?G??K?G??E?C??@_@???K?G???o?_??@?@???B_@????_@_???W?G???B?@????K?C????W?G????O?G????[?C????B?@?????[?G?????o?_????@_@?????@O@??????[?_?????B?G??????[@???????bC??????BwG???????No,4,4
106,~?@isP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????C????A?C??@_????G?????_?_??@?????B??????_?????G?????@??????E??????G??????G??????C??????@???????G???????_??????@_??????@????????_?_?????G?G?????B????????K????????O????????O?G??????G?C??????E?????????o????????A?????????C?@???????K?????????E?????????@??????????G?@????????_??????????_??????????_?G????????O??????????C???????????O??????????@???????????A?@?????????A???????????@????????????O???????????A?@??????????G????????????W????????????W????????????E????????????@_????????????K?????????????o?????????????o?????????????_?????????????O?_???????????K??????????????o?????????????B??????????????A??????????????A?G????????????@???????????????O??????????????A?G?????????????G?_?????????????O@??????????????O???????????????G?_?????????????A?G??????????????W????????????????o???????????????@_????????????????GG???????????????CC????????????????o????????????????AW,v|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??G?C??o?G??o?G??O?C??M?@???o?G??B??_??E?@???E?@???B??_???w?G???A?@????[?C????W?G????O?G????W?C????F?@?????O?G????B_?_????B?B?????B_@??????o?_?????M?G??????{@???????_[??????BoG???????mW,4,5
106,~?@isP@@?OC?O`?@?@_?O?A??W??_??_??O??C@?@_??C???G@??G???K???A????O@??@????E????C????A?C???_????C?????O?????o?????_?????O?????C??????o?????A??????C??????C??????A???????_@?????K???????o??????@???????@?@??????_???????W???????B????????G????????O?G??????O?G??????W????????E?????????_????????A??_??????C?????????C?????????A??_???????_?????????E??????????O??????????_?G????????_??????????O??????????A???????????O??????????@??_????????A???????????A???????????@??_?????????o???????????B????????????K????????????G????????????K????????????E????????????@_????????????K?????????????W?????????????_?????????????_@????????????O?????????????C??????????????_@????????????B??????????????C??????????????C?G????????????A???????????????_??????????????C?G?????????????O?_?????????????_@??????????????o???????????????W???????????????B????????????????G@???????????????o???????????????@_????????????????GG???????????????CC???????????????@O????????????????AW,v|eMID@WH?e@C@E?`?GW@@_CB?GB?G@?C?o@?E?G?W?_?o@??_@??o?_?K?G?@?@??K?C??W?G??W?G??K?C??B?@???O?G??B??_??E?@???E?@???B_?_???O?G???F?@????K?C????O?G????o?G????W?C????F?@?????[?G?????_?_????B_@?????@_@??????w?_?????F_G??????GF??????@oC??????@wG???????[w,0,0
106,~?@isP@@?OC?O`?@@@_?O?A@?W??_??_??O??C???_??A???C???C???A????_???K????_???@?G??B????@?????O@???E?????W?????_?????_@????o?????K?????@??????C??????G??????G??????C?C????@???????G???????_??????@???????@?@??????_???????G???????@????????C?C??????W????????W????????G????????A?@???????W????????@?????????A?@???????E?????????B??????????O?????????A?@????????W??????????o??????????O??????????G??????????A?@?????????O??????????@???????????A?@?????????A???????????@????????????O???????????A?@??????????G?C??????????O????????????O????????????G????????????A?@???????????o????????????@_????????????A?????????????A?@???????????@_?????????????O?????????????A?@????????????W??????????????K??????????????K??????????????E???????????????_??????????????C?G?????????????O?_?????????????_@??????????????o???????????????G???????????????A????????????????W@???????????????_G??????????????@????????????????@?G???????????????GC???????????????B@????????????????R?,v|eMID@WH?e@C@E?`?GW@@?CF?GA?GB?C?_@?M?G?O?_@_@?@_@??_?_?W?G?B?@??G?C??w?G??O?G??[?C??A?@???o?G??B??_??F?@???A?@???B??_???w?G???A?@????[?C????W?G????O?G????[?C????A?B?????w?G????@??_????F?@?????B_@??????_B_?????W?G?????B_@??????F_C??????A_w??????@rG,0,0
106,~?@isP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????C????A?C??@_????G?????_?_??@?????B??????_?????G?????@??????E??????G??????G??????C??????@???????G?G?????_??????@_??????@????????_???????G?G?????B????????K????????O????????O?G??????G?C??????E?????????o????????A?????????C?@???????E?????????A??????????_?G???????C?@????????o??????????_??????????_?G????????O??????????C???????????O??????????@???????????A?@?????????A???????????@????????????O?G?????????A????????????C????????????G????????????G?G??????????E????????????@_????????????K?????????????o?????????????o?????????????_?????????????O?_???????????E??????????????o?????????????B??????????????A??????????????A?G????????????@???????????????O??????????????A?G?????????????G?_?????????????O@??????????????O???????????????G?_?????????????A?G??????????????W????????????????o???????????????@_????????????????GG???????????????CC????????????????o????????????????AW,v|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??G?C??w?G??O?G??[?C??B?@???O?G??B??_??E?@???E?@???B??_???w?G???A?@????[?C????W?G????O?G????[?C????A?@?????{?G?????_@_????B?@?????B_@??????o?_?????M?G??????{@???????_[??????BgG???????]W,4,5
106,~?@isP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????C????A?C??@_????G?????_?_??@?????B??????_?????G?????@??????E??????G??????G??????C??????@???????G?G?????_??????@_??????@????????_?_?????G?G?????B????????K????????O????????O?G??????G?C??????E?????????o????????A?????????C?@???????E?????????A??????????_?G???????C??????????G??????????O?G????????O??????????G??????????@???????????G???????????_?_????????@???????????@????????????_?_?????????G???????????@_???????????E????????????E????????????E????????????B?????????????o????????????B?????????????G?????????????O@????????????W?????????????G?????????????A?G????????????O?????????????@?C????????????A??????????????A??????????????@?C?????????????O@?????????????A???????????????K???????????????G???????????????K???????????????B????????????????o???????????????@_???????????????C????????????????KG???????????????K????????????????AC????????????????o????????????????AW,v|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??G?C??w?G??O?G??[?C??B?@???W?G??@_?_??B?@???B?@???@o?_???G?G???B_@????E?C????G?G????[?G????C?K????B_@?????K?G?????w?_?????o@??????w@??????M?_?????@_G??????I@???????[C???????[W???????Ng,4,5
106,~?@isP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????C????A?C??@_????G?????_?_??@?????B??????_?????G?????@??????E??????G??????G??????C??????@???????G?G?????_??????@_??????@????????_?_?????G?G?????B????????K????????O????????O?G??????G?C??????E?????????o????????A?????????C?@???????E?????????A??????????_?G???????C??????????G??????????O??????????O??????????G??????????@???????????G???????????_?_????????@???????????@????????????_?_?????????G???????????@_???????????E????????????K????????????K????????????E????????????@_????????????K?????????????W?????????????_?????????????_@????????????W?????????????C??????????????_@????????????A?C????????????C??????????????C?G????????????A???????????????_@?????????????C???????????????O?_?????????????_@??????????????o???????????????G???????????????@_???????????????E????????????????K????????????????C????????????????EG???????????????B?????????????????P????????????????BG,v|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??G?C??w?G??O?G??[?C??B?@???W?G??@_?_??B?@???B?@???@o?_???G?G???B_@????E?C????G?G????[?G????C?K????B_@?????K?G?????o?_????@_@?????@_@??????w?_?????C?W?????@w@??????@OK??????@wG???????\W,4,4
106,~?@isP@@?OC?O`?@?@_?O?A??W??_??_??O??C@?@_??C???G???G@??K???A????O@??@????E????C????A?C???_????C?????O?_??@_?????_?????O?????C??????o?????A??????C??????C??????A???????_@?????K???????O???????_???????_@??????o???????K???????@????????C?C??????G?G??????W????????K????????A?????????O?G??????@?????????A?@???????A?@???????B??????????O?????????A??????????G??????????O??????????G??????????C??????????@?@?????????G???????????_??????????@?@??????????_???????????O???????????C?G?????????@_???????????E????????????K????????????K????????????E?????????????o????????????C?????????????O?_???????????o?????????????o?????????????G?????????????A??????????????O@????????????@??????????????A?G????????????A??????????????@?C?????????????O@?????????????A???????????????G?_?????????????W???????????????W???????????????E????????????????o???????????????@????????????????CC???????????????K????????????????C????????????????AC????????????????p????????????????B_,v|eMID@WH?e@C@E?`?GW@@_CB?GA?GB?C?o@?E?G?W?_?o@??_@??o?_?K?G?@?@??K?C??W?G??[?G??C?C??B?@???W?G??@_?_??B?@???B_@????_?_???[?G???@_@????C?C????W?G????]?G????A?K????@_@?????K?G?????o?_????@_@?????@o@??????O@_?????N?G??????OB??????BOC??????@oW???????yg,4,5
106,~?@isP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????E????B?????_????C?????O?_??@_?????_?????O?????C??????o?????A??????C?G????C??????A???????_??????K???????O???????_???????_@??????o???????K???????@????????C?C??????G????????K????????E????????@_????????G?????????_?_??????@?@???????B??????????_?????????G?G???????@??????????C??????????K??????????G??????????C?C????????@???????????G???????????_???????????_???????????_???????????O?_?????????E????????????o???????????A????????????C?G??????????C????????????B?????????????o????????????E?????????????W?????????????o?????????????O?????????????G?_???????????A??????????????O?????????????@_?????????????B??????????????@???????????????_??????????????G??????????????@_??????????????B???????????????E???????????????E???????????????@_???????????????W???????????????B????????????????K????????????????GG???????????????G????????????????E?????????????????b????????????????D_,v|eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?o@?E?G?W?_?o@??o@??W?_?E?G??_@??E?C??M?G??C?G??E?C??@_@???K?G???o?_??@_@???@_@????o?_???K?G???@_@????C?C????]?G????C?W????E?C????@o@?????E?G?????W?_?????o@??????w@??????K?_?????B?G??????S@???????{C???????Ww???????^G,4,5
