n_c,fullerene_g6,dual_g6,depth_fullerene,depth_dual
108,~?@ksP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G???K???A????O@??@????E????E????B?????_????C?????O????@_????@_?????_?????G?G???@??????E??????G??????G??????C??????@???????G??????@_??????B???????A???????@??_?????O???????A????????K????????O????????O?G??????G?C??????E?????????o????????B?????????E?????????C?????????A??????????_?G???????C??????????W??????????o??????????_??????????O?C????????C???????????O??????????@???????????A?@?????????A???????????@????????????O?G?????????E????????????K????????????O????????????O?G??????????G????????????A?????????????W????????????@_????????????B?????????????@_?????????????o?????????????C??????????????_?????????????A?C????????????C?G????????????E??????????????B???????????????o??????????????A???????????????G???????????????O@??????????????O@??????????????G?_?????????????E????????????????G????????????????_C??????????????@?G??????????????@_????????????????o????????????????@@????????????????K?????????????????K?????????????????F,w|eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??K?C??O?G??o?G??W?C??E?@???o?G??B??_??C?@???M?@???B??_???w?G???A?@????[?C????W?G????W?G????K?C????B_@?????K?G?????o?_????@_@?????@?@?????@o?_?????M?W??????_D??????F_C??????B?W??????BoG???????[k,4,5
108,~?@ksP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????E????B?????_????C?????O????@_?????_?????O?????C??????o?????A??????C??????C??????A???????_??????K???????o??????@???????@?@??????_?_?????W???????B????????G????????O?G??????O?G??????W????????E?????????o????????B?????????C?????????C?????????A??_???????_?????????A??????????G??????????O??????????O??????????C??????????@???????????G?G?????????_??????????@???????????@?@?????????@_???????????K???????????@_???????????E????????????K????????????K????????????E????????????@_????????????E?????????????W?????????????O?????????????O?????????????G?_???????????A?G????????????O?????????????@??????????????A??????????????A?G????????????@???????????????O@?????????????A???????????????G?_?????????????o???????????????K???????????????E???????????????@_???????????????E????????????????K????????????????G????????????????K????????????????A?????????????????`????????????????CG????????????????W_????????????????w,w|eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?o@?E?G?W?_?o@??_@??o?_?K?G?@_@??C?C??W?G??W?G??K?C??B?@???W?G??@_?_??B?@???B_@????_?_???[?G???@_@????E?C????K?G????M?G????B?C?????o@?????E?G?????W?_?????w@??????OB??????[?_?????B?G??????W@??????@wC???????oW???????sG???????Fk,4,5
108,~?@ksP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????E????B?????_????C?????O????@_?????_?????O?????C??????o?????A??????C??????C??????A???????_??????K???????o??????@???????@?@??????_?_?????W???????B????????G????????O?G??????O?G??????W????????E?????????o????????B?????????C?????????C?????????A??_???????_?????????A??????????G??????????O??????????O??????????C??????????@???????????G?G?????????_??????????@???????????@???????????@_???????????K???????????@_???????????E????????????K????????????K????????????E????????????@_????????????E?????????????W?????????????o?????????????_?????????????O?????????????C?G????????????_@????????????A??????????????C??????????????C??????????????A?C?????????????_??????????????C?G?????????????O?_?????????????_???????????????_@??????????????o???????????????B????????????????W???????????????@_???????????????@_????????????????W????????????????C????????????????@_????????????????CW????????????????Q?????????????????p,w|eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?o@?E?G?W?_?o@??_@??o?_?K?G?@_@??C?C??W?G??W?G??K?C??B?@???W?G??@_?_??B?@???B_@????_?_???[?G???@_@????E?C????G?G????W?G????M?C????@_@?????K?G?????o?_????@_@?????@o@??????O@_?????N?G??????WB??????@_C??????BoG???????oW???????Ys,4,4
108,~?@ksP@@?OC?O`?@?@_?O?A??W??_??_??O??C@?@_??C???G???G@??K???A????O@??@????E????C????A?C???_????C?????O?_??@_?????_?????O?????C??????o?????A??????C??????C??????A???????_@?????K???????O???????_???????_@??????o???????K???????@????????C?C??????G?G??????W????????K????????A?????????O?G??????@?????????A?????????A?@???????B??????????O?????????A??????????G??????????O??????????G??????????C??????????@?@?????????G???????????_??????????@?@?????????B????????????_???????????G???????????@?@??????????K????????????W????????????W????????????K????????????B?????????????K?????????????_????????????@?@???????????@??????????????o?????????????K??????????????_?????????????A??????????????C?G????????????C??????????????A?C?????????????_??????????????C?G?????????????O?_?????????????o???????????????o???????????????K???????????????B????????????????K????????????????W????????????????G????????????????GG???????????????E?????????????????_????????????????CG????????????????W_????????????????[,w|eMID@WH?e@C@E?`?GW@@_CB?GA?GB?C?o@?E?G?W?_?o@??_@??o?_?K?G?@?@??K?C??W?G??[?G??C?C??B?@???W?G??@_?_??B?@???B_@????_?_???[?G???@_@????C?C????W?G????W?G????M?C????@?B?????W?G????@_?_????B?@?????B?@?????@o?_?????G?W?????Bo@??????A?K??????M_G??????@oW???????\S,4,4
108,~?@ksP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????C????A?C??@_????G?????_????@?@???B??????_?????G?????@??????E??????G??????G??????C??????@???????G?G?????_??????B???????@????????_???????G?G?????B????????K????????O????????O?G??????G?C??????E?????????o????????A?????????C?@???????E?????????A??????????_?????????C?@????????o??????????_??????????_?G????????O??????????C???????????O??????????@???????????A?@?????????A???????????@????????????O?G?????????A????????????W????????????O????????????O????????????G?C??????????B?????????????W????????????@_????????????B?????????????@_?????????????o?????????????E??????????????_?????????????B??????????????E??????????????A??????????????@?C?????????????O??????????????A???????????????G?_?????????????O@??????????????O???????????????G?_?????????????A?G??????????????o???????????????@_???????????????@_???????????????@_????????????????K?????????????????_????????????????E?????????????????H_????????????????[,w|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??G?C??w?G??O?G??W?C??F?@???O?G??B??_??E?@???E?@???B??_???w?G???A?@????[?C????W?G????[?G????C?C????B?@?????[?G?????_@_????B?@?????B_@??????o?_?????M?G??????w@??????@oC??????@gG???????]G???????B{,4,5
108,~?@ksP@@?OC?O`?@?@_?O?A@?W??_??_??O??C@?@_??C???G@??G???C???@????G???@_???A????A?G??@?????O????A?????K?????O?????O@????W?????E??????_?????A??????C??????C??????A?C????@_??????K???????_??????@?@?????@?@??????_???????G???????@????????C?C??????W????????W????????G????????A?@???????O????????@?????????A?????????A??????????_?????????G?G???????B??????????K??????????G??????????G??????????C?C????????@???????????G???????????_?_????????B???????????B???????????@_???????????W???????????@????????????C????????????G????????????G?G??????????K????????????@_????????????G?????????????_?_??????????@?????????????@??????????????_?_???????????G?????????????@_?????????????E??????????????K??????????????C??????????????A?C?????????????_@?????????????C?G?????????????W???????????????o???????????????W???????????????K???????????????@????????????????G????????????????_C???????????????OG???????????????OG???????????????G????????????????A@????????????????WG???????????????@_?????????????????X,w|eMID@WH?e@C@E?`?GW@@_CB?GB?G@?C?w@?A?G?W?_?o@??_@??o?_?K?G?@?@??K?C??W?G??W?G??K?C??B?@???[?G???_?_??B?@???B_@????_?_???[?G???@_@????C?C????W?G????W?G????K?C????B?@?????W?G????@o?_????@?B?????B?@?????@o?_?????N?G??????OF??????B_C??????B_G??????@gG???????K{,4,4
108,~?@ksP@@?OC?O`?@@@_?O?A??W??_??_G?O??C???_??A???C???K???C???@?G??G????_???@?G??B????@?????O@???E?????W?????_?????_?????O?????E??????_?????A?C????C??????C?G????A???????_??????C???????O???????_??????@_???????o???????G???????@?@??????C?C??????G????????G?G??????E????????@?????????G?G??????@_????????B?????????B?????????@??????????O?G???????A??????????G??????????G??????????G?G????????C??????????@?@?????????G???????????_??????????@???????????@?@??????????_???????????G???????????@_???????????E????????????K????????????C????????????A?C???????????o????????????E?????????????W?????????????W?????????????W?????????????G?????????????A?G????????????O?????????????@_?????????????@??????????????@?G?????????????_??????????????G??????????????@?G?????????????C???????????????G@??????????????K???????????????E????????????????_G??????????????E????????????????W????????????????W????????????????G????????????????CC????????????????`????????????????CG????????????????W?????????????????R,w|eMID@WH?e@E@A?`_GG@@oC@?GB?G@?C?o@?E?G?W?_?o@??o@??O?_?M?G??_@??F?C??C?G??K?G??E?C??@?@???W?G??@_?_??B?@???B_@????o?_???G?G???B_@????C?C????[?G????G?W????M?C????@_@?????G?G????@o?_????@_@?????@w@??????G@_?????F?G??????S@???????wC???????oW???????yG???????Bk,0,0
108,~?@ksP@@?OC?O`?@@@_?O?A??W??_??_G?O??C???_??A???C???K???C???@?G??G????_???@?G??B????@?????O@???E?????W?????_?????_?????O?????E??????_?????A?C????C??????C?G????A???????_??????C???????O???????_??????@_???????o???????G???????@?@??????C????????G????????G?G??????E????????@?????????G?G??????@_????????B?????????B?????????@??????????O?G???????A??????????G??????????W??????????W??????????C??????????@?@?????????G???????????_??????????@???????????@????????????_?_?????????G???????????@_???????????E????????????G????????????G?G??????????C????????????@?@???????????K?????????????_????????????@?@???????????B?????????????@_?????????????K?????????????@??????????????C?C????????????G??????????????G??????????????E???????????????o??????????????A???????????????G???????????????O???????????????O@??????????????G?_?????????????A?G??????????????W???????????????@_???????????????B????????????????@_G???????????????_O???????????????G@???????????????B?????????????????@?_???????????????AD,w|eMID@WH?e@E@A?`_GG@@oC@?GB?G@?C?o@?E?G?W?_?o@??o@??O?_?M?G??_@??F?C??C?G??K?G??E?C??@?@???W?G??@_?_??B?@???B?@???@o?_???G?G???B_@????C?K????[?G????G?G????K?C????B_@?????G?G????@o?_????@_@?????@_@??????w?_?????D?W??????[@???????_C??????BoG???????wW???????Ls,4,4
108,~?@ksP@@?OC?O`?@?@_?O?A??W??_??_G?O??C??@_??C???G???G???K???A????O@??@????A????A?G??B?????_????C?????O?_??@_????@_?????_?????G?????@??????E??????G??????G?G????C??????@?@?????G??????@_??????@???????@????????_???????G???????B????????K????????O????????O?G??????G?C??????A?????????O?G??????@_????????A?????????A?????????@??_???????o?????????E??????????W??????????_??????????_?G????????O??????????C???????????O??????????@??_????????A???????????A?@?????????@??_?????????o???????????A????????????G?C??????????O????????????O?G??????????G????????????B?????????????W????????????@_????????????@?????????????@?@????????????O?????????????C??????????????_@????????????B??????????????B??????????????A??????????????@?C?????????????O??????????????B???????????????E???????????????K???????????????C???????????????A?_??????????????_G??????????????C@???????????????W????????????????o????????????????OG???????????????G????????????????A@????????????????CG????????????????O_????????????????X,w|eMID@WH?e@E@A?`_GG@@_CB?GA?GB?C?_@?K?G?o?_@_@?@_@??o?_?G?G?B_@??C?C??W?G??[?G??C?C??B?@???W?G??@??_??E?@???E?@???B??_???w?G???B?@????G?C????w?G????W?G????M?C????@_@?????M?G?????O?_????@o@??????o@??????]?_?????@?W??????[@???????wC???????wG???????\G???????@{,4,5
108,~?@ksP@@?OC?O`?@?@_?O?A??W??_??_G?O??C??@_??C???G@??G???K???A????O@??@????A????A?G??B?????_????C?????O?????o?????_?????O?????C??????o?????A??????C?G????C??????A?C?????_??????K???????o??????@???????@?@??????_?_?????W???????B????????G????????O?G??????O?G??????G????????A?@???????W????????@?????????A?????????A?????????@??????????G?????????@??????????C??????????G??????????C??????????A?C?????????_??????????C?G?????????O?_????????@_??????????@_???????????o???????????K???????????@_???????????E????????????K????????????K????????????A?????????????_@???????????A?????????????G?????????????O?????????????O?????????????G?_???????????A??????????????O?????????????@??????????????B??????????????@_??????????????o??????????????K??????????????@_??????????????B???????????????E???????????????E???????????????B????????????????OG??????????????A????????????????G????????????????OG???????????????OG???????????????GC???????????????A?????????????????KG????????????????o?????????????????L,w|eMID@WH?e@E@A?`_GG@@_CB?GB?G@?C?o@?E?G?W?_?o@??o@??O?_?M?G??_@??E?C??K?G??K?G??E?C??@_@???K?G???o?_??@o@????o@????O?_???M?G????o@????B?C????E?G????E?G????B?C?????o@?????E?G?????]?_?????GB??????[@??????E?_?????@_G??????M@???????WC???????sG???????MG???????B{,4,5
