n_c,fullerene_g6,dual_g6,depth_fullerene,depth_dual
114,~?@qsP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G???K???A????O@??@????E????E????B?????_????C?????O????@_????@_?????_?????G?????@??????E??????G??????G??????C??????@???????G??????@_??????B???????A???????@??_?????O???????A?@??????W????????o????????_????????O?C??????C?@??????@_????????E?????????K?????????K?????????C?????????@??????????G?@????????_?????????@_??????????_??????????O??????????C???????????_??????????@???????????A???????????A?@?????????@????????????O???????????A?@??????????W????????????W????????????O????????????G?C??????????A?@???????????o????????????B?????????????E?????????????E?????????????B??????????????W?????????????B??????????????C??????????????G??????????????G?G????????????C???????????????_@?????????????C???????????????O???????????????_@??????????????_???????????????O???????????????C?G??????????????_@??????????????A?C??????????????K????????????????E????????????????@_????????????????W????????????????@_????????????????E?????????????????@@????????????????@??????????????????__????????????????GG????????????????@@?????????????????CC?????????????????EG,z|eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??K?C??O?G??o?G??W?C??E?@???o?G??B??_??E?@???E?@???B??_???w?G???A?@????[?C????W?G????W?G????K?C????B_@?????K?G?????o?_????@_@?????@_@??????o?_?????M?G??????_@??????F_C??????B?W??????B_G???????wC???????E@????????{G????????n_,4,4
114,~?@qsP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G???K???A????O@??@????E????E????B?????_????C?????O????@_????@_?????_?????G?G???@??????E??????G??????G??????C??????@???????G??????@_??????B???????A???????@????????O???????A????????K????????O????????O?G??????G?C??????E?????????o????????B?????????E?????????C?????????A??????????_?G???????C??????????o?????????@_?????????@_??????????_??????????G?@????????@???????????A???????????C???????????C?@?????????A????????????_???????????C?@??????????o????????????o????????????_????????????O????????????C?@???????????_????????????A??_??????????E?????????????E?????????????B??????????????W?????????????B??????????????C??????????????G??????????????G?G????????????C?C????????????B???????????????K???????????????O???????????????_@??????????????_???????????????O???????????????C?G??????????????_@??????????????A?C??????????????K????????????????A????????????????@?????????????????O@???????????????A?G???????????????K?????????????????W?????????????????A@????????????????@_?????????????????W??????????????????`?????????????????AC?????????????????BG,z|eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??K?C??O?G??o?G??W?C??E?@???_?G??E??_??K?@???G?@???M??_??@_?G???M?@????O?C???@o?G????o?G????W?C????E?@?????w?G????@_?_????A?@?????F?@?????@_?_?????[?G?????@o@??????A?C??????N?G??????B?W??????@wC???????CJ???????@oG???????Bp_,4,5
114,~?@qsP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G???K???A????O@??@????E????E????B?????_????C?????O????@_????@_?????_?????G?G???@??????E??????G??????G??????C??????@???????G??????@_??????B???????A???????@??_?????O???????A????????K????????O????????O?G??????G?C??????E?????????o????????B?????????E?????????C?????????A??????????_?G???????C??????????W??????????o??????????_??????????O?C????????C???????????O??????????@???????????A?@?????????A???????????@????????????O?G?????????E????????????K????????????O????????????O?G??????????G????????????A?????????????W????????????@_????????????B?????????????@_?????????????o?????????????C??????????????_?????????????A?C????????????C?G????????????E??????????????B???????????????_??????????????C?G?????????????O???????????????_???????????????_@??????????????O???????????????C?G?????????????@_???????????????@????????????????A?G??????????????A?G??????????????@?????????????????W????????????????B?????????????????E?????????????????C?????????????????E??????????????????o?????????????????K??????????????????o?????????????????@K?????????????????F?,z|eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??K?C??O?G??o?G??W?C??E?@???o?G??B??_??C?@???M?@???B??_???w?G???A?@????[?C????W?G????W?G????K?C????B_@?????K?G?????o?_????@_@?????@?@?????@o?_?????M?G??????_@??????F?C??????E?W??????E?G??????BoC???????MB????????dg???????F__,4,5
114,~?@qsP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G???K???A????O@??@????E????E????B?????_????C?????O????@_????@_?????_?????G?G???@??????E??????G??????G??????C??????@???????G??????@_??????B???????A???????@??_?????O???????A????????K????????O????????O?G??????G?C??????E?????????o????????B?????????E?????????C?????????A??????????_?G???????C??????????W??????????o??????????_??????????O?C????????C???????????O??????????@???????????A?@?????????A???????????@????????????O???????????E????????????K????????????O????????????O?G??????????G????????????A?????????????W????????????@_????????????B?????????????@_?????????????o?????????????K?????????????@??????????????C??????????????G?G????????????G?G????????????E??????????????@_??????????????K???????????????O???????????????_???????????????_@??????????????O?_?????????????C????????????????_@??????????????E????????????????A????????????????A?G??????????????@?????????????????W????????????????B?????????????????B?????????????????A?????????????????B??????????????????o?????????????????K??????????????????o?????????????????@K?????????????????F?,z|eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??K?C??O?G??o?G??W?C??E?@???o?G??B??_??C?@???M?@???B??_???w?G???A?@????[?C????W?G????W?G????G?C????E?@?????w?G????@_?_????B?@?????B?@?????@??_?????w?G?????B_B??????C?S??????]?G??????E?W??????B?C???????{@???????@_W???????EU_,4,5
114,~?@qsP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????C????A?C??@_????G?????_????@?????B??????_?????G?????@??????E??????G??????G??????C??????@???????G???????_??????B???????B???????@????????O?G?????A?@??????W????????o????????_????????O?C??????C?@??????@_????????E?????????K?????????K?????????E?????????@??????????G??????????_?C???????@???????????_??????????O??????????C???????????_??????????@???????????A???????????A?@?????????@????????????O???????????A????????????G?C??????????o????????????W????????????K????????????B?????????????W????????????@_????????????B?????????????B??????????????o?????????????K?????????????@_?????????????A??????????????C??????????????C?G????????????A?C?????????????_??????????????C???????????????O???????????????_@??????????????_???????????????O?_?????????????C????????????????_@??????????????A?C??????????????K????????????????B????????????????@_????????????????W????????????????@_????????????????B?????????????????@?????????????????@_?????????????????O?????????????????CG?????????????????`?????????????????BC?????????????????F?,z|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??K?C??W?G??O?G??W?C??E?@???o?G??B??_??E?@???E?@???B??_???w?G???A?@????[?C????W?G????W?G????K?C????B?@?????[?G?????o?_????@_@?????@_@??????o?_?????M?G??????_B??????F?C??????F?G??????B?G??????@wC???????EB????????sG????????|_,4,5
114,~?@qsP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????E????B?????_????C?????O????@_?????_?????O?????C??????o?????A??????C??????C??????A???????_??????K???????o??????@???????@?@??????_?_?????W???????B????????G????????O?G??????O????????W????????E?????????o????????B?????????C?????????C?????????A??_???????_?????????A??????????G??????????O??????????O??????????K??????????A???????????O??????????@??_????????A???????????A???????????@??_?????????o???????????B????????????K????????????W????????????W????????????K????????????A?????????????O?G??????????@??_??????????E?????????????B?????????????@_?????????????G?????????????@??????????????C?C????????????G?G????????????G??????????????C??????????????@???????????????G?G?????????????O???????????????_???????????????_@??????????????O???????????????C?G?????????????@_???????????????@_???????????????B????????????????B?????????????????o????????????????K?????????????????o????????????????@?????????????????B?????????????????@??????????????????__????????????????GG????????????????@_?????????????????AK?????????????????M?,z|eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?o@?E?G?W?_?o@??_@??o?_?K?G?@_@??C?C??W?G??W?G??K?C??B?@???W?G??@_?_??B?@???B?@???@_?_???O?G???F?@????K?C????W?G????W?G????M?C????@_@?????K?G?????o?_????@_@?????@_@??????w?_?????C?G?????@o@??????B?K??????E?G??????F_G???????oK???????K@???????@wG???????@Z_,4,4
114,~?@qsP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????C????A?C??@_????G?????_????@?????B??????_?????G?????@??????E??????G??????G??????C??????@???????G?G?????_??????B???????B???????@????????O?G?????A?@??????W????????o????????_????????O?C??????C?@??????@_????????E?????????G?????????G?@???????E?????????@??????????G??????????_?C???????@???????????_??????????O??????????C???????????_??????????@???????????A???????????A?@?????????@????????????O???????????A?@??????????G????????????o????????????W????????????K????????????B?????????????W????????????@_????????????B?????????????B??????????????o?????????????G?????????????@?@????????????E??????????????G??????????????G??????????????C?C????????????@?@?????????????G???????????????_??????????????@???????????????@?@??????????????_???????????????G?G?????????????@?@??????????????E????????????????C????????????????K????????????????@_????????????????W????????????????B?????????????????E?????????????????A?????????????????B@????????????????@??????????????????W?????????????????@B?????????????????CO?????????????????KG,z|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??G?C??w?G??O?G??W?C??E?@???o?G??B??_??E?@???E?@???B??_???w?G???A?@????[?C????W?G????O?G????[?C????A?B?????o?G????B_?_????B?@?????B?@?????@_?_?????W?G?????B_@??????C?K??????]?G??????D?W??????@_C???????]@????????oW???????BU_,4,5
114,~?@qsP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????E????B?????_????C?????O????@_?????_?????O?????C??????o?????A??????C??????C??????A???????_??????K???????o??????@???????@?@??????_?_?????W???????B????????G????????O?G??????O?G??????W????????E?????????o????????B?????????C?????????C?@???????A??????????_?????????A??????????G??????????O??????????O??????????C??????????@???????????G?G?????????_??????????@???????????@????????????o???????????K???????????@_???????????E????????????K????????????K????????????E????????????@_????????????E?????????????W?????????????o?????????????_?????????????O?_???????????C??????????????_@????????????A??????????????C??????????????C??????????????A?C?????????????_??????????????C?G?????????????O???????????????_@??????????????_???????????????W???????????????B????????????????W???????????????@_???????????????@_????????????????o????????????????K????????????????A?????????????????OG???????????????@?_???????????????A@????????????????A?????????????????@?_????????????????OG????????????????A@?????????????????GC?????????????????EG,z|eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?o@?E?G?W?_?o@??_@??o?_?K?G?@_@??C?C??W?G??W?G??K?C??B?@???W?G??@_?_??B?@???B_@????_?_???[?G???@_@????E?C????G?G????[?G????E?C????@_@?????K?G?????o?_????@_@?????@o@??????O@_?????M?G??????w@??????@?C??????F?G??????B_G???????oC???????L@????????]G????????^_,4,4
114,~?@qsP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G???K???A????O@??@????E????E????B?????_????C?????O????@_????@_?????_?????G?????@??????E??????G??????G??????C??????@???????G??????@_??????B???????A???????@??_?????O???????A?@??????W????????o????????_????????O?C??????C?@??????@_????????E?????????K?????????K?????????C?????????@??????????G?@????????_?????????@_??????????_??????????O??????????C???????????_??????????@???????????A???????????A?@?????????@????????????O???????????A????????????W????????????W????????????O????????????G?C??????????A?@???????????o????????????B?????????????E?????????????E?????????????B??????????????W?????????????B??????????????K??????????????O??????????????O??????????????G?C????????????A?@?????????????G???????????????_?_????????????@???????????????@????????????????_?_?????????????G???????????????@?@??????????????C?C??????????????G????????????????G?G??????????????K?????????????????o????????????????B?????????????????K?????????????????K?????????????????B??????????????????_?????????????????K??????????????????b?????????????????AO?????????????????EG,z|eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??K?C??O?G??o?G??W?C??E?@???o?G??B??_??E?@???E?@???B??_???w?G???A?@????[?C????W?G????W?G????G?C????E?@?????w?G????@_?_????B?@?????B?@?????@_?_?????W?G?????B_@??????C?K??????]?G??????E?W??????B?C???????{@???????@oW???????BU_,4,5
114,~?@qsP@@?OC?O`?@?@_?O?A??W??_??_??O??C@?@_??C???G???G???K???A????O@??@????E????C????A?C???_????C?????O?_??@_????@_?????_?????G?G???@??????E??????G??????G??????C??????@???????G?G????@_??????@???????@????????_???????G???????@_???????C????????G?G??????G?G??????K????????B?????????O????????@??_??????A?????????A?????????@??_???????o?????????E??????????W??????????_??????????_?G????????O??????????A???????????O??????????@??_????????A???????????A???????????@??_?????????o???????????A????????????G????????????O????????????O????????????G????????????B?????????????W????????????@_????????????@_????????????@??????????????_?_???????????G?????????????@_?????????????E??????????????K??????????????K??????????????E??????????????@_??????????????C???????????????O???????????????_@??????????????_@??????????????W???????????????E????????????????O???????????????@?C??????????????A????????????????A?G??????????????@_????????????????W?????????????????_????????????????A?_???????????????E?????????????????B??????????????????o?????????????????E??????????????????W??????????????????c?????????????????@g,z|eMID@WH?e@C@E?`?GW@@_CB?GA?GB?C?_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??G?C??o?G??o?G??[?C??A?@???o?G??B??_??C?@???M?@???B??_???w?G???A?@????[?C????W?G????O?G????W?C????E?@?????w?G????@?@_????E?@?????E?@?????B??_?????_?G?????M?@??????[?K??????O?g??????{?G??????C?K??????Bg@???????B_W???????FI_,4,4
