n_c,fullerene_g6,dual_g6,depth_fullerene,depth_dual
104,~?@gsP@@?PC?O`?@?@_?O?A??G??O??O??G??E???_??A?_?C???K???C???@?G??W???@????A?G??E????A?????_????C?????W?????_?????_?????O?????C??????_?????A??????C??????C??????A??????@_??????K???????_??????@?@?????@???????@_???????W???????B????????K????????W????????W????????K????????B?????????O????????@?????????A?@???????A?????????@_?????????O?????????A??????????G?C????????O??????????O??????????G?C????????A???????????O??????????@???????????A???????????E???????????@_???????????O???????????A?@??????????G?C??????????o????????????W????????????K????????????@_????????????K?????????????o????????????@_????????????@??????????????_?_???????????G?G???????????@?@????????????A??????????????C??????????????C?G????????????A???????????????_@?????????????C?G?????????????O???????????????_@??????????????_???????????????E?_?????????????@_???????????????E????????????????E????????????????E????????????????@G????????????????s,u|eMID@WH_a@E@A?`_GG@@_CB?GB?G@?C?o@?E?G?W?_?_@?@_@??o?_?K?G?@_@??C?C??W?G??W?G??K?C??B?@???O?G??B??_??E?@???F?@???@??_???w?G???B?@????K?C????W?G????O?G????W?C????F?@?????W?G????@_?_????B?@?????Bo@??????O@_?????N?G??????[B???????bS??????BwG,4,4
104,~?@gsP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G???K???A????O@??@????E????E????B?????_????C?G???O????@_????@_?????_?????G?G???@??????E??????G??????G??????C??????@???????G???????o??????@???????@?@??????_???????G???????@_???????C????????G?G??????G?G??????K????????B?????????W????????@_????????A?????????A?@???????@??????????W?????????B??????????G??????????O?G????????O??????????C??????????@???????????G?G?????????_??????????@???????????@????????????o???????????G???????????@?@??????????C?C??????????G????????????K????????????E????????????@_????????????E?????????????W?????????????o?????????????_?????????????O?_???????????C?G????????????W?????????????@??????????????A?G????????????A??????????????@?C?????????????O@?????????????A???????????????G???????????????O@??????????????K???????????????A????????????????o???????????????@_???????????????E????????????????F????????????????AO???????????????@c,u|eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??K?C??O?G??w?G??K?C??B?@???W?G??@??_??F?@???B?@???@o?_???G?G???B_@????E?C????K?G????G?G????M?C????@_@?????M?G?????O?_????@o@??????w@??????M?_?????@_G??????KP???????}C???????No,0,0
104,~?@gsP@@?OC?O`?@?@_?O?A??W??_??_G?O??C??@_??C???G???G???K???A????O@??@????A????A?G??B?????_????C?????O????@_????@_?????_?????G?????@??????E??????G??????G?G????C??????@???????G??????@_??????B???????A???????@??_?????O???????A????????W????????o????????_????????O?C??????C?@???????o????????B?????????E?????????C?????????A??????????_?G???????C??????????W??????????o??????????_??????????O??????????C?@?????????_??????????@???????????A?@?????????A???????????@????????????O???????????E????????????K????????????O????????????O?G??????????G?C??????????A?????????????o????????????@_????????????B?????????????@_?????????????o?????????????K?????????????@??????????????C?C????????????G?G????????????G?G????????????B???????????????_??????????????C???????????????O?_?????????????_@??????????????_@??????????????O???????????????C?G??????????????_????????????????oC???????????????_o??????????????@_????????????????EC,u|eMID@WH?e@E@A?`_GG@@_CB?GA?GB?C?_@?K?G?o?_@_@?@_@??o?_?K?G?@_@??C?C??W?G??W?G??K?C??B?@???W?G??@??_??E?@???E?@???B??_???w?G???B?@????K?C????W?G????O?G????W?C????F?@?????W?G????@o?_????@?P?????B?@?????@o?_?????M?G??????oF??????B`c??????B{?,4,4
104,~?@gsP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G@??G???K???A????O@??@????E????E????B?????_????C?????O?????o?????_?????O?????C??????o?????A??????C??????C??????A???????_??????K???????o??????@???????@?@??????_???????W???????B????????G????????O?G??????O?G??????W????????E?????????o????????B?????????C?????????C?@???????A??????????_?????????E??????????O??????????_?G????????_??????????O??????????A???????????O??????????@??_????????A???????????A???????????@????????????W???????????B????????????K????????????G????????????K????????????E????????????@_????????????K?????????????W?????????????o?????????????o?????????????O?????????????C?G????????????_@????????????B??????????????C??????????????C?G????????????A???????????????_??????????????C?G?????????????O?_?????????????_@??????????????_???????????????O???????????????B????????????????GB???????????????o???????????????@_????????????????KG???????????????EO,u|eMID@WH?e@C@E?`_GG@@_CB?GB?G@?C?o@?E?G?W?_?o@??_@??o?_?K?G?@_@??C?C??W?G??W?G??K?C??B?@???O?G??B??_??E?@???E?@???B_?_???O?G???F?@????K?C????W?G????O?G????[?C????B?@?????[?G?????_?_????B_@?????@_@??????w?_?????F_G??????KF???????bc??????BwG,0,0
104,~?@gsP@@?OC?O`?@?@_?O?A??W??_??_G?O??C??@_??C???G@??G???K???A????O???@????A????A?G??B?????_????C?????O?????o?????_?????O?????C?????@_?????E??????G??????G?G????C??????@???????G?G????@_??????B???????A???????@??_?????O???????E????????W????????_????????_?G??????O????????C?@???????o????????B?????????A?????????A?????????@??????????O?????????B??????????G??????????O?G????????O??????????G??????????B???????????G???????????_?_????????@???????????@?@?????????@_???????????W???????????B????????????K????????????G????????????K????????????E????????????@?????????????G?G???????????_?_??????????@_?????????????_?????????????O?????????????C??????????????_@????????????B??????????????C??????????????C?G????????????A???????????????_??????????????B???????????????C@_?????????????W???????????????W???????????????E????????????????_G??????????????E????????????????W????????????????CG???????????????D?????????????????k,u|eMID@WH?e@E@A?`_GG@@_CB?GB?G@?C?o@?E?G?O?_@_@?@_@??o?_?K?G?@_@??E?C??K?G??K?G??E?C??@?@???W?G??@_?_??B?@???B?@???@o?_???K?G???@_@????E?C????K?G????K?G????F?C?????_@?????M?G?????W?_?????o@??????{@??????E@_?????@_G??????N@???????MK???????Lg,0,0
104,~?@gsP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G@??G???K???A????O???@?C??E????E????B?????_????C?????O?????o?????_?????O?????C?????@_?????A??????C??????C??????A???????_??????K???????o??????@???????@?@??????_?_?????W???????B????????G????????O?G??????O?G??????W????????E?????????o????????B?????????C?????????C?@???????A??????????_?G???????A??????????G??????????O??????????O??????????C??????????@???????????G?G?????????_??????????@???????????@????????????o???????????E????????????o???????????B????????????E????????????E????????????B?????????????W????????????B?????????????K?????????????O?????????????O@????????????G?_???????????A??????????????O?????????????@??????????????A?G????????????A??????????????@?C?????????????O@?????????????A???????????????G???????????????K@??????????????K???????????????E????????????????o???????????????@_???????????????E????????????????AG???????????????AG???????????????@c,u|eMID@WH?e@C@E?`_GG@@_CB?GB?G@?C?o@?E?G?O?_@o@??_@??o?_?K?G?@_@??C?C??W?G??W?G??K?C??B?@???W?G??@_?_??B?@???B_@????_?_???[?G???@_@????E?C????G?G????[?G????F?C?????o@?????E?G?????W?_?????w@??????OB??????]?_?????@_W??????H`??????@wC???????Yo,4,4
104,~?@gsP@@?OC?O`?@?@_?O?A??W??_??_??O??C@?@_??C???G@??G???K???A????O@??@????E????C????A?C???_????C?????O?????o?????_?????O?_???C??????o?????A??????C??????C??????A???????_@?????K???????o??????@???????@?@??????_???????K???????@????????C?C??????G????????W????????K????????A?????????O?G??????@?????????A?@???????A?????????@??_???????W?????????A??????????G?C????????O??????????W??????????G??????????A?@?????????O??????????@??_????????A???????????A?@?????????@_???????????G???????????@?@??????????C????????????K????????????K????????????A?????????????o????????????A?????????????G?_???????????O?????????????O@????????????G?_???????????B??????????????O?????????????@?C????????????B??????????????A??????????????@?C?????????????O@?????????????A???????????????G?_?????????????G@??????????????G@??????????????C???????????????@_???????????????C@???????????????G????????????????OG???????????????EG???????????????Ao,u|eMID@WH?e@C@E?`?GW@@_CB?GB?G@?C?o@?E?G?W?_?o@??_@??o?_?K?G?@?@??K?C??W?G??W?G??K?C??B?@???O?G??B_?_??B?@???B?@???@_?_???W?G???B_@????C?C????W?G????[?G????F?C?????o@?????C?G?????w?_?????w@??????W@??????M?_?????@AG??????X`??????@wC???????^_,4,4
104,~?@gsP@@?OC?O`?@?@_?O?A??W??_??_??O??C@?@_??C???G@??G???K???A????O???@?C??E????C????A?C???_????C?????O?????o?????_?????O?????C?????@_?????A??????C??????C??????A???????_@?????K???????o??????@???????@?@??????_?_?????W???????B????????G????????O?G??????O?G??????W????????E?????????_????????A??_??????C?????????C?@???????A??????????_?????????A??????????G??????????O??????????O??????????C??????????@?@?????????G???????????_?_????????@???????????@?@??????????o???????????K???????????@_???????????E????????????K????????????K????????????E?????????????o????????????A?????????????G?_???????????O?????????????O@????????????G?????????????A?G????????????O?????????????@??????????????A??????????????A?G????????????@?C?????????????O@?????????????A???????????????G?_?????????????W???????????????K???????????????E???????????????@_???????????????@@???????????????CC???????????????K????????????????CG???????????????AS,u|eMID@WH?e@C@E?`?GW@@_CB?GB?G@?C?o@?E?G?O?_@o@??_@??o?_?K?G?@?@??K?C??W?G??W?G??K?C??B?@???W?G??@_?_??B?@???B_@????o?_???M?G????_@????E?C????M?G????E?G????B?C?????o@?????E?G?????W?_?????w@??????[B??????CE_?????B?G??????[@???????wK???????pg,4,4
104,~?@gsP@@?OC?O`?@?@_?O?A??W??_??_??O??C@?@_??C???G???G@??K???A????O@??@????E????C????A?C???_????C?????O????@_?????_?????O?????C??????o?????A??????C??????C?G????A???????_@?????K???????o??????@???????@?@??????_?_?????W???????B????????G????????O?G??????O????????W????????A?????????O?G??????@?????????A?????????A?@???????@??????????G?????????@??????????C??????????G??????????K??????????C??????????@?@?????????G?G?????????_??????????@?@?????????B????????????o???????????K???????????@_???????????E????????????K????????????K????????????A?????????????O????????????A?G???????????G?????????????O?????????????O@????????????G?_???????????A??????????????O?????????????@??????????????B??????????????B???????????????_??????????????G@?????????????B???????????????B???????????????E???????????????E???????????????B????????????????OG??????????????A@???????????????G????????????????W????????????????GW???????????????Co,u|eMID@WH?e@C@E?`?GW@@_CB?GA?GB?C?o@?E?G?W?_?o@??_@??w?_?C?G?@_@??E?C??K?G??K?G??E?C??@_@???K?G???o?_??@_@???@_@????w?_???C?G???@_@????E?C????M?G????E?G????B?C?????o@?????E?G?????[?_?????[@??????GF??????K?_?????B?G??????]@???????WK???????rg,0,0
104,~?@gsP@@?OC?O`?@?@_?O?A??W??_??_??O??C@?@_??C???G???G???K???A????O???@?C??E????C????A?C???_????C?????O?_??@_????@_?????_?????G?????@??????K??????G??????G??????C??????@???????G?G????@_??????@???????@????????_???????G?G?????B????????K????????O????????O?G??????G?C??????E?????????o????????B?????????A?????????A?????????@??_???????o?????????E??????????G??????????O??????????O??????????G??????????@???????????G?G?????????_??????????@???????????@?@?????????@_???????????G???????????@????????????C?C??????????G?G??????????W????????????K????????????B?????????????W?????????????o????????????@_?????????????_?????????????W?????????????E??????????????G??????????????_C????????????@??????????????@???????????????_C?????????????G@?????????????@???????????????C?_?????????????W???????????????K???????????????B????????????????o???????????????@_???????????????A????????????????E????????????????AW???????????????@o,u|eMID@WH?e@C@E?`?GW@@_CB?GA?GB?C?_@?K?G?o?_@?@?B_@??_?_?W?G?B?@??K?C??W?G??[?G??C?C??B?@???W?G??@_?_??B?@???B?@???@o?_???K?G???@_@????E?C????K?G????M?G????A?K????@o@?????E?G?????W?_?????o@??????w@??????K@_?????B?G??????Y@???????]C???????Lw,4,4
