n_c,fullerene_g6,dual_g6,depth_fullerene,depth_dual
102,~?@esP@@?OC?O`?@@@_?O?A??W??_??_??O??C???_??A???C???K???C???@????G@??@_???B????B????@?????O@???E?????W?????_?????_?????O?????K??????_?????A??????C??????C??????A?C?????_??????C???????O???????_@?????@_???????o???????G???????@????????C?C??????W????????W????????K????????@?????????G?G??????@_????????B?????????@??????????_?????????G?????????@?@????????K??????????G??????????G?G????????C??????????@???????????G?G?????????_??????????@???????????@?@??????????_?_?????????W???????????B????????????C????????????G????????????G?G??????????E????????????@_????????????E?????????????W?????????????G?????????????G?????????????C?_???????????@?G????????????W??????????????_?????????????@?G????????????@???????????????_C?????????????K??????????????@_??????????????@???????????????B???????????????@_???????????????W???????????????B????????????????W????????????????c???????????????@g,t|eMID@WH?e@C@E?`_GG@@oC@?GB?G@?C?o@?E?G?O?_@o@??_@??o?_?K?G?@_@??F?C??C?G??K?G??E?C??@_@???K?G???o?_??@?@???B_@????o?_???K?G???@_@????F?C????C?W????M?G????B?C?????o@?????F?G?????G?_?????w@??????WB??????L?_??????wG??????Bp???????A{,2,2
102,~?@esP@@?OC?O`?@@@_?O?A@?W??_??_??O??C???_??A???C???C???A????_G??K????_???@?G??B????@?????O@???E?????W?????_?????_@????o?????C??????_?????A?C????C??????C??????A???????_??????C???????O?_?????_???????_???????O???????C?G?????@_???????A????????C?G??????K????????E????????@?????????G?G??????@_????????@_????????@??????????_?_???????W?????????@??????????C?C????????G?G????????G??????????C??????????@?@?????????G???????????_??????????@???????????@?@??????????_???????????G???????????@????????????C?C??????????C????????????C?G??????????E?????????????o????????????E?????????????W?????????????W?????????????O?????????????G?_???????????E??????????????W??????????????_?????????????@??????????????@?G?????????????_??????????????K???????????????_??????????????A???????????????E???????????????AB??????????????B????????????????W???????????????B_???????????????CG???????????????HG,t|eMID@WH?e@C@E?`?GW@@?CF?GA?GB?C?_@?M?G?O?_@o@??_@??w?_?C?G?@_@??E?C??G?G??[?G??C?C??B_@???G?G??@o?_??@?@???B_@????w?_???C?G???@_@????F?C????C?G????M?G????A?K????@o@?????C?W?????w?_?????c@?????@w@??????K@??????B_G??????I`???????F[,2,2
102,~?@esP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O???@?C??E????C????A?C??@_????G?????_?_??@?????B??????_?????G?????@?@????K??????G??????G??????C?C????@???????G???????_??????@_??????@????????_?_?????G?G?????B????????C????????G????????G?G??????K????????@?????????G?G??????@_????????B?????????A?????????@??_???????O?????????@??????????C??????????G?G????????W??????????C??????????@?@?????????G?G?????????_??????????@???????????@?@??????????_???????????K???????????@_???????????E????????????C????????????C????????????A?C???????????O????????????A?G???????????W?????????????W?????????????W?????????????C?????????????@??????????????G@????????????@_?????????????@_??????????????_??????????????O??????????????C@??????????????o??????????????B???????????????A???????????????B????????????????`_??????????????W???????????????@_???????????????AC???????????????Cg,t|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@?@?B_@??_?_?[?G?@?@??K?C??W?G??O?G??[?C??B?@???W?G??@_?_??B_@???@?@???@o?_???M?G????_@????E?C????M?G????C?G????F?C?????oB?????E?G?????[?_?????Q@??????{@??????E@??????@oG??????D`???????F[,2,2
102,~?@esP@@?OC?O`?@?@_?O?A??W??_??_??O??C@?@_??C???G???G@??K???A????O???@?C??E????C????A?C???_????C?????O????@_?????_?????O?????C?????@_?????A??????C??????C?G????A???????_@?????K???????o??????@???????@????????_?_?????W???????B????????G????????O????????O?G??????W????????A?????????O?G??????@?????????A?@???????A?????????@??_???????o?????????A??????????G??????????O?G????????O??????????W??????????A???????????O?G????????@??_????????A???????????A?@?????????@_???????????G???????????@_???????????E????????????E????????????C????????????A?????????????_@???????????A?????????????G?_???????????O?????????????O@????????????G?_???????????E??????????????O?????????????@?C????????????A??????????????E??????????????@_??????????????G??????????????@?G?????????????A???????????????E???????????????B???????????????@????????????????W???????????????@B???????????????EO???????????????M?,t|eMID@WH?e@C@E?`?GW@@_CB?GA?GB?C?o@?E?G?O?_@o@??_@??w?_?C?G?@_@??E?C??K?G??K?G??C?C??B?@???W?G??@_?_??B?@???A?@???B_?_???[?G???@?@????K?C????[?G????M?G????A?C????@o@?????F?G?????K?_?????Q@??????{@??????E@??????@wG??????AZ???????]C,2,2
102,~?@esP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G@??G???K???A????O???@?C??E????E????B?????_????C?????O?????o?????_?????O?????C?????@_?????A??????C??????C??????A???????_??????K???????o??????@???????@?@??????_?_?????W???????B????????G????????O?G??????O?G??????W????????E?????????o????????B?????????C?????????C?@???????A??????????_?G???????A??????????G??????????O??????????O??????????C??????????@???????????G?G?????????_??????????@???????????@????????????o???????????E????????????o???????????B????????????E????????????E????????????B?????????????W????????????B?????????????K?????????????O?????????????O@????????????G?_???????????A?G????????????O?????????????@??????????????A?G????????????A??????????????@?C?????????????O@?????????????A???????????????G???????????????E@??????????????E???????????????@_???????????????E????????????????o????????????????c???????????????@g,t|eMID@WH?e@C@E?`_GG@@_CB?GB?G@?C?o@?E?G?O?_@o@??_@??o?_?K?G?@_@??C?C??W?G??W?G??K?C??B?@???W?G??@_?_??B?@???B_@????_?_???[?G???@_@????E?C????G?G????[?G????F?C?????o@?????E?G?????W?_?????w@??????OB??????]?_?????@_W??????Gt??????@{C,2,2
102,~?@esP@@?OE?O?_@_?_?G?B??G??O??O??W??C???_G?A???K???G???C???@????W???@_???A????A????@?????W????A?????G?????O?????o?????W?????C??????_?????A?C????C??????K??????E??????@???????G?G?????_??????B???????B???????@????????O?G?????A????????G????????o????????W????????G????????A?????????O????????@??_??????B?????????A?????????@??_???????O?????????A??????????K??????????W??????????O??????????G?C????????A?@?????????O??????????B???????????E???????????A???????????@??_?????????O???????????B????????????K????????????O????????????O?G??????????G?C??????????A?????????????K?????????????_????????????@?????????????@?@????????????_?_???????????K?????????????@??????????????C?C????????????G?G????????????G??????????????B???????????????o??????????????A???????????????W???????????????K???????????????C???????????????@_???????????????W???????????????@`???????????????Co???????????????M?,t|fIID`GH_a@E@A?`_GK@?oC@?GB?G@_C?O@?E?G?W?_?_@?@o@??O?_?K?G?@_@??E?C??K?G??G?G??K?C??B?@???W?G??@_?_??B?@???B?@???@o?_???G?G???B?@????K?C????[?G????K?G????C?C????B_@?????K?G?????o?_????@o@??????w@??????GB_?????EGG??????}@???????]W,2,2
102,~?@esP@@?OE?O?_@_?_?G?B??G??O??O??W??C???_G?A???K???G???C?_?@????W???@_???A????A????@?????W????A?????G?????O?????W?????G?????A??????O@????@??????E??????E??????A???????_@?????C???????o??????@_??????@????????_?_?????G???????B????????E????????G????????G????????C????????@?@???????K?????????_????????@?????????@??????????_?????????K?????????@??????????C?C????????G?G????????G??????????K??????????B???????????G???????????_?_????????@???????????B???????????@_???????????W???????????B????????????C????????????E????????????C????????????A?????????????_@???????????C?G???????????W?????????????_?????????????_?????????????O?_???????????C??????????????o?????????????B??????????????A??????????????E???????????????o??????????????C??????????????@_??????????????B???????????????E???????????????B???????????????@G???????????????[????????????????a???????????????AC???????????????EG,t|fIID`GH_a@E@A?`_GK@?oC@?GB?G@_C?W@?B?G?G?_?w@??O@??W?_?E?G??o@??B?C??C?G??K?G??E?C??@_@???K?G???o?_??@o@????_@????o?_???K?G???@o@????B?C????C?G????K?G????E?C????@_@?????M?G?????[?_?????O@??????p@??????^?_??????oo??????FH???????NC,2,2
102,~?@esP@@?OE?O?_@_?_?G?B??G??O??O??W??C???_G?A???K???G???C?_?@????W???@_???A????A????@?????W????A?????G?????O?????W?????G?????A??????O@????@??????E??????E??????A???????_@?????C???????o??????@_??????@????????_?_?????G???????B????????E????????G????????G????????C????????@?@???????K?????????_????????@?@???????@??????????_?????????K?????????@??????????C?C????????G?G????????G??????????K??????????B???????????G???????????_?_????????@???????????@_???????????o???????????K????????????_???????????@_???????????A????????????A????????????@?C???????????O@???????????B?????????????G?????????????O@????????????O?????????????K?????????????B??????????????G?????????????@_??????????????_??????????????_G?????????????O??????????????E???????????????o??????????????@_??????????????A???????????????B????????????????o???????????????K????????????????o???????????????@K???????????????F?,t|fIID`GH_a@E@A?`_GK@?oC@?GB?G@_C?W@?B?G?G?_?w@??O@??W?_?E?G??o@??B?C??C?G??K?G??E?C??@_@???K?G???o?_??@o@????_@????o?_???K?G???@o@????B?C????C?G????M?G????B?C?????w@?????B_G?????C?_?????W@??????]@??????B@_??????`g??????M@???????]K,2,2
102,~?@esP@@?OC?O`?@?@_?O?A??W??_??_??O??C@?@_??C???G@??G???K???A????O@??@????E????C????A?C???_????C?????O?????o?????_?????O?????C??????o?????A??????C??????C?G????A???????_@?????K???????o??????@???????@?@??????_???????W???????B????????G????????O?G??????O????????W????????A?????????O?G??????@?????????A?@???????A?????????@??_???????W?????????A??????????G??????????O?G????????O??????????K??????????A???????????O?G????????@??_????????A???????????A?@?????????@_???????????G???????????@?@??????????C????????????W????????????K????????????E?????????????_????????????A?????????????G?_???????????O?????????????O@????????????G?_???????????B??????????????O?????????????@??????????????A?G????????????B??????????????@_??????????????G??????????????@?G?????????????B???????????????A???????????????E???????????????@_???????????????G???????????????@H???????????????F????????????????B_,t|eMID@WH?e@C@E?`?GW@@_CB?GB?G@?C?o@?E?G?W?_?o@??_@??w?_?C?G?@_@??E?C??K?G??K?G??E?C??@?@???W?G??@_?_??B?@???B?@???@_?_???[?G???@?@????K?C????[?G????M?G????B?C?????_@?????K?G?????w?_?????w@??????[@??????CK_?????BCG??????^@???????Fo,2,2
102,~?@esP@@?OC?O`?@@@_?O?A??W??_??_??O??C???_??A???C@??K???C???@?G??G???@_???A????A?G??B?????_????C?G???o?????_?????_?????O?????E??????_?????A??????C?G????C??????A???????_??????C???????O?_?????_@?????@_???????o???????G???????@?@??????C????????W????????G????????C?C??????B?????????W????????@?????????A?@???????@??????????_?????????G?????????@??????????E??????????G??????????G?G????????C?C????????@???????????G???????????_?_????????@???????????@_???????????o???????????K???????????@_???????????E????????????C????????????A????????????@?C???????????o????????????B?????????????K?????????????G?????????????G?????????????C?????????????@_?????????????K??????????????O??????????????_??????????????_G?????????????W??????????????E???????????????o??????????????B???????????????A@??????????????A@??????????????B????????????????W???????????????@@???????????????C_???????????????@W,t|eMID@WH?e@C@E?`?GW@@?CF?GA?GB?C?o@?E?G?W?_?o@??_@??w?_?C?G?@_@??E?C??G?G??[?G??E?C??@_@???K?G???o?_??@_@???@_@????w?_???C?G???@_@????F?C????C?G????M?G????B?K?????o@?????E?G?????[?_?????[@??????GF??????K?_?????B_G??????J@???????K{,2,2
