n_c,fullerene_g6,dual_g6,depth_fullerene,depth_dual
110,~?@msP@@?OC?O`?@?@_?O?A@?W??_??_??O??C??@_??C???G@??G???C???@????G???@_???A????A?G??B?????_????C?????O?????o?????_?????O?_???K?????@_?????C??????G??????G??????C??????@???????G??????@_??????B???????A???????@??_?????O???????A????????G????????O????????O?G??????W????????E?????????o????????B?????????E?????????C?????????A??????????_?G???????C??????????W??????????o??????????o??????????W??????????A???????????O??????????@??_????????A???????????A???????????@????????????O???????????E????????????K????????????O????????????O?G??????????G????????????A?????????????O?G??????????@??_??????????E?????????????B?????????????@_?????????????W?????????????B??????????????G??????????????O?G????????????O?G????????????G?C????????????B???????????????W???????????????O???????????????_???????????????_@??????????????O?_?????????????C????????????????_@??????????????A????????????????@?G??????????????@?G???????????????o????????????????K?????????????????W?????????????????o?????????????????W?????????????????K?????????????????B_,x|eMID@WH?e@C@E?`?GW@@?CE?GE?GB?C?_@?M?G?O?_@_@?@_@??_?_?W?G?B?@??K?C??W?G??O?G??W?C??E?@???o?G??B??_??C?@???M?@???A?@_??@_?G???M?@????O?C???@o?G????o?G????W?C????E?@?????_?G????E??_????M?@?????E?@?????B??_?????g?G?????Bo@??????A?K??????N?G??????B_W???????bS???????^@,4,5
110,~?@msP@@?PC?O`?@@@_?O?A??G??O??O??G??A???O??@???E???C???A?_?@_???G????_C??B????A????@?C???o????E?????O?????_?????_?????O?????C??????_?????A??????C?G????C??????A???????_??????C???????O??????@_??????@_???????o???????K???????@_???????C????????G?G??????K????????C????????@?@???????W????????@_????????B?????????A?????????@??????????O?G???????A??????????G??????????O?G????????O??????????G??????????A?@?????????O??????????@???????????A?@?????????A???????????@????????????O?G?????????E????????????K????????????W????????????K????????????C????????????@?@???????????K?????????????_????????????@?@???????????@_?????????????o?????????????C??????????????_?????????????A?C????????????C??????????????C?G????????????A?C?????????????_??????????????C?G?????????????O???????????????_???????????????_@??????????????O?_?????????????C?G?????????????@_???????????????B????????????????@????????????????@?G???????????????o????????????????K?????????????????GG????????????????_????????????????@`?????????????????o?????????????????E_,x|eMID@WH_a@E@A?`_GG@@oC@?GB?G@?C?o@?E?G?W?_?_@?@_@??o?_?G?G?B_@??C?C??[?G??G?G??K?C??B?@???O?G??B??_??E?@???F?@???@??_???w?G???B?@????G?C????w?G????O?G????[?C????B?@?????W?G????@_?_????B?@?????Bo@??????O@_?????N?G??????OB??????B_C??????A?W??????F?G??????@oK???????LT,3,3
110,~?@msP@@?PC?O`?@?@_?O?A??G??O??O??G??E???_??A?_?C???K???C???@?G??W???@????A?G??E????A?????_????C?????W?????_?????_?????O?????C??????_?????A??????C??????C?G????A??????@_??????K???????_??????@?@?????@???????@_???????W???????B????????K????????W????????O????????G?C??????B?????????O????????@??_??????A?????????A?????????@_?????????O?????????A??????????G?C????????O??????????O??????????G?C????????A???????????O??????????@??_????????A???????????B???????????@_???????????O???????????A?@??????????G?C??????????o????????????W????????????K????????????@_????????????G?????????????_?_??????????@_????????????@??????????????_?_???????????G?????????????@?@????????????A??????????????C??????????????C?G????????????A???????????????_@?????????????C?G?????????????O???????????????_@??????????????_???????????????W???????????????B????????????????W????????????????o????????????????O????????????????OG???????????????K????????????????B?????????????????GG????????????????_????????????????@`?????????????????o?????????????????E_,x|eMID@WH_a@E@A?`_GG@@_CB?GB?G@?C?o@?E?G?W?_?_@?@_@??o?_?G?G?B_@??C?C??W?G??W?G??K?C??B?@???O?G??B??_??E?@???F?@???@??_???w?G???B?@????G?C????w?G????O?G????[?C????B?@?????W?G????@_?_????B?@?????Bo@??????O@_?????N?G??????OB??????B_C??????A?W??????F?G??????@oK???????LT,0,0
110,~?@msP@@?PC?O`?@?@_?O?A??G??O??O??G??E???_??A???C@??K???C???@?G??W???@????A?G??E????A?????_????C?????o?????_?????_?????O?_???C??????_?????A??????C??????C??????A??????@_??????K???????_??????@???????@?@?????@_???????G???????@?@??????K????????W????????W????????K????????B?????????O????????@?????????A?@???????A?????????B??????????O?????????A??????????G?C????????O??????????O??????????G?C????????A???????????O??????????@???????????A???????????E???????????@_???????????O???????????A????????????G?C??????????o????????????O????????????G?C??????????E?????????????W????????????@_????????????B?????????????B?????????????@??????????????O?G???????????A?@????????????G?C????????????o??????????????O??????????????K??????????????@???????????????G???????????????_?_????????????@?@?????????????@????????????????_?_?????????????G????????????????O@??????????????@_???????????????B????????????????@?G??????????????@_????????????????E?????????????????W?????????????????o?????????????????P?????????????????W?????????????????D_,x|eMID@WH_a@E@A?`_GG@@_CB?GA?GB?C?o@?E?G?W?_?_@?@_@??o?_?K?G?@_@??C?C??W?G??W?G??K?C??A?@???o?G??B??_??F?@???B?@???@??_???w?G???B?@????K?C????W?G????O?G????W?C????F?@?????W?G????@??_????E?@?????E?@?????B_?_?????W?W?????A?@??????]?C??????M?W??????COg??????FoC???????Mq,4,5
110,~?@msP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G???K???A????O@??@????E????C????A?C??@_????G?????_?_??@?????B?????@_?????O?????A?@????G??????W??????O??????G??????A???????O??????@??_????A???????B???????@????????O?G?????A????????G????????W????????O????????G?C??????A?@???????o????????B?????????C?????????C?@???????B??????????_?????????C?@????????O??????????o??????????o??????????O??????????C?@?????????_??????????@???????????A???????????A?@?????????@????????????O???????????A?@??????????G????????????W????????????O????????????G?C??????????A?@???????????O????????????@_????????????B?????????????B??????????????o?????????????G?????????????@?@????????????E??????????????G??????????????G?G????????????C?C?????????????o??????????????C???????????????O?_?????????????_???????????????_@??????????????O?_?????????????C????????????????o???????????????@????????????????@_????????????????_????????????????W????????????????@_????????????????G?????????????????o_???????????????@o?????????????????c?????????????????W_,x|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?G?G@_?_B?@?B?@?@_?_?O?G?E?@??W?C??_?G?@o?G??O?C??M?@???o?G??B??_??E?@???C?@???F??_???o?G???F?@????G?C????w?G????W?G????G?C????F?@?????O?W????B_?_????B?@?????B_@??????_?_?????[?G?????@o@??????B_C??????B?G??????AaG???????}C???????@},4,5
110,~?@msP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G???K???A????O@??@????E????C????A?C??@_????G?????_?_??@?????B?????@_?????O?????A?@????G??????W??????O??????G??????A???????O??????@???????A???????B???????@????????O?G?????A????????G????????W????????O????????G?C??????A?@???????o????????B?????????E?????????E?????????B??????????_?????????C?@????????O??????????o??????????o??????????O??????????C?@?????????_??????????@???????????A???????????A?@?????????@????????????O???????????A????????????G????????????W????????????O????????????G?C??????????A?@???????????O????????????@_????????????B?????????????B??????????????o?????????????K?????????????@_?????????????E??????????????G??????????????G?G????????????C?C?????????????o??????????????C???????????????O?_?????????????_???????????????_@??????????????O?_?????????????C????????????????_@??????????????A????????????????C?G??????????????B?????????????????_????????????????K?????????????????W?????????????????o?????????????????w?????????????????Q?????????????????K_,x|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?G?G@_?_B?@?B?@?@_?_?O?G?E?@??W?C??o?G??o?G??O?C??M?@???o?G??B??_??E?@???C?@???F??_???o?G???F?@????G?C????w?G????W?G????K?C????B?@?????O?G????B_?_????B?@?????B_@??????_?_?????[?G?????@o@??????B_C??????B_G??????@aG???????}C???????@},4,5
110,~?@msP@@?PC?O`?@?@_?O?A??G??O??O??G??E???_??A?_?C???K???C???@?G??W???@????A?G??E????A?????_????C?????W?????_?????_?????O?????C??????_?????A??????C??????C??????A??????@_??????K???????_??????@?@?????@???????@_???????W???????B????????K????????W????????W????????K????????B?????????O????????@?????????A?@???????A?????????@_?????????O?????????A??????????G??????????O??????????O??????????G?C????????A???????????O??????????@???????????A???????????E???????????@_???????????O???????????A?@??????????G?C??????????o????????????o????????????W????????????E?????????????W????????????@_????????????B?????????????B?????????????@??????????????O?G???????????A?@????????????G?C????????????G??????????????G??????????????C??????????????@?@?????????????G???????????????_?_????????????@???????????????@????????????????_?_?????????????G????????????????W@??????????????@_???????????????B????????????????@_????????????????W????????????????E?????????????????W?????????????????O_????????????????_?????????????????p?????????????????J?,x|eMID@WH_a@E@A?`_GG@@_CB?GB?G@?C?o@?E?G?W?_?_@?@_@??o?_?K?G?@_@??C?C??W?G??W?G??K?C??B?@???O?G??B??_??E?@???F?@???@??_???w?G???B?@????K?C????W?G????O?G????W?C????F?@?????W?G????@_?_????B?@?????B?@?????@o?_?????G?W?????B_@??????E?K??????M?G??????CWG??????FoC???????Em,4,4
110,~?@msP@@?OC?O`?@?@_?O?A??W??_??_G?O??C??@_??C???G???G???K???A????O???@????A????A?G??B?????_????C?????O????@_????@_?????_?????G?????@?@????K??????W??????O??????G?C????A???????O??????@???????E???????E???????A????????_?G?????C????????O?C?????@_????????_????????O????????C?????????_?G??????B?????????E?????????E?????????A??????????_?????????C?@????????O??????????o??????????O??????????G??????????A?@?????????o??????????B???????????A???????????A?@?????????@????????????O???????????A????????????W????????????W????????????O????????????G?C??????????A?@???????????o????????????@?????????????A?@???????????A?????????????@??_???????????W?????????????B??????????????K??????????????O??????????????O?G????????????G?C????????????A?@?????????????G???????????????_??????????????@?@?????????????@_???????????????O???????????????C?G??????????????_???????????????A?C??????????????C????????????????@_G???????????????o????????????????C?????????????????oG???????????????@_????????????????@_?????????????????P?????????????????I_,x|eMID@WH?e@E@A?`_GG@@_CB?GA?GB?C?_@?K?G?o?_@?@?B?@?@_?_?W?G?B?@??K?C??O?G??o?G??W?C??E?@???o?G??B??_??E?@???F?@???@??_???o?G???F?@????K?C????W?G????W?G????G?C????E?@?????w?G????@_?_????B?@?????B?@?????@o?_?????K?G?????@o@??????B?K??????F?G??????AKG??????BwC???????Bm,4,5
110,~?@msP@@?OC?O`?@?@_?O?A??W??_??_G?O??C??@_??C???G???G???K???A????O@??@????A????A?G??B?????_????C?????O????@_????@_?????_?????G?????@??????E??????G??????G?G????C??????@?@?????G??????@_??????B???????A???????@??_?????O???????A????????W????????o????????_????????O?C??????C?@???????_????????A??_??????E?????????C?????????A??_???????_?????????C??????????W??????????o??????????_??????????O??????????C?@?????????_??????????@???????????A?@?????????A???????????@??_?????????O???????????B????????????K????????????O????????????O?G??????????G?C??????????A?????????????o????????????@_????????????B?????????????@??????????????_?_???????????K?????????????@??????????????C?C????????????G??????????????G?G????????????B???????????????_??????????????C???????????????O?_?????????????_@??????????????_@??????????????O???????????????C?G??????????????_???????????????B????????????????B????????????????@????????????????@_????????????????A@????????????????OG???????????????@_????????????????B?????????????????@`?????????????????e?,x|eMID@WH?e@E@A?`_GG@@_CB?GA?GB?C?_@?K?G?o?_@_@?@_@??o?_?G?G?B_@??C?C??W?G??W?G??K?C??B?@???W?G??@??_??E?@???E?@???B??_???w?G???B?@????G?C????w?G????O?G????[?C????B?@?????W?G????@o?_????@?@?????B?@?????@o?_?????M?G??????oF??????A@c??????M?G??????CGW??????F?C???????{B,4,4
110,~?@msP@@?OC?O`?@?@_?O?A??W??_??_G?O??C??@_??C???G???G???K???A????O@??@????A????A?G??B?????_????C?????O????@_????@_?????_?????G?????@??????E??????G??????G?G????C??????@???????G??????@_??????B???????A???????@??_?????O???????A????????W????????o????????_????????O?C??????C?????????o????????B?????????E?????????C?????????A??????????_?G???????C??????????W??????????o??????????_??????????O??????????C?@?????????_??????????B???????????C???????????C?@?????????A????????????_???????????C????????????o????????????o????????????_????????????O?C??????????C?@???????????_????????????E?????????????E?????????????C?????????????A??_???????????_?G???????????E??????????????W??????????????o??????????????_??????????????O?C????????????C?@?????????????_?G????????????@_??????????????A???????????????A???????????????@??_?????????????O?G?????????????@????????????????C?C??????????????G?G??????????????G????????????????C?????????????????W@???????????????@?o???????????????K?????????????????E?????????????????@_?????????????????B_,x|eMID@WH?e@E@A?`_GG@@_CB?GA?GB?C?_@?K?G?o?_@_@?@_@??o?_?K?G?@_@??C?C??W?G??W?G??K?C??B?@???W?G??@??_??E?@???E?@???B??_???o?G???E?@????W?C????o?G????o?G????O?C????K?@????@o?G????B??_????F?@?????A?P?????B??_?????w?G?????B?@??????M?C??????M?G??????EEG??????B{????????@},2,2
