n_c,fullerene_g6,dual_g6,depth_fullerene,depth_dual
116,~?@ssP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????C????A?C??@_????G?????_?_??@?????B??????_?????G?????@??????E??????G??????G??????C??????@???????G???????_??????@_??????@????????_?_?????G?G?????B????????K????????O????????O?G??????G????????E?????????o????????B?????????E?????????E?????????A??????????_?G???????C??????????G??????????O?G????????O??????????G??????????B???????????O??????????@??_????????A???????????A???????????@????????????O???????????A????????????K????????????W????????????K????????????E????????????@?????????????G?G???????????_????????????@_????????????@_?????????????o?????????????K?????????????@_?????????????C??????????????G?G????????????G?G????????????C?C????????????@???????????????G???????????????o??????????????@???????????????@?@??????????????_?_?????????????G???????????????@????????????????C????????????????G????????????????B?G??????????????@_????????????????O????????????????A?G???????????????G?_???????????????K?????????????????K?????????????????E?????????????????@_?????????????????A@?????????????????G??????????????????K??????????????????CW?????????????????Ao,{|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??K?C??W?G??O?G??[?C??B?@???W?G??@_?_??B?@???B?@???@_?_???W?G???B?@????K?C????W?G????W?G????K?C????A?@?????w?G????@_?_????B_@?????@_@??????o?_?????K?G?????@_@??????F?C??????E?G??????E?G??????B?C???????b@???????N_G???????BF????????Fp,0,0
116,~?@ssP@@?PC?O`?@?@_?O?A??G??O??O??G??E???_??A?_?C???K???C???@?G??W???@????A?G??E????A?????_????C?????W?????_?????_?????O?????C??????_?????A?C????C??????C??????A??????@_??????K???????_??????@?@?????@???????@_???????W???????A????????G?C??????o????????O????????G?C??????E?????????o????????A?????????C?????????C?@???????A??????????o?????????C??????????O?C????????_??????????_??????????O??????????C???????????_?G????????A???????????C???????????C???????????A???????????@_???????????E????????????O????????????_?G??????????_????????????W????????????E?????????????o????????????B?????????????A?????????????A?@???????????B??????????????o?????????????E??????????????O??????????????_?G????????????_?G????????????O?C????????????E???????????????_??????????????A??_????????????C?@?????????????C???????????????B????????????????O???????????????A?@??????????????G????????????????O?G??????????????O????????????????A?C???????????????_@???????????????C?????????????????K?????????????????W?????????????????G@????????????????E??????????????????o?????????????????@_?????????????????E??????????????????AG?????????????????AG?????????????????@c,{|eMID@WH_a@E@A?`_GG@@_CB?GB?G@?C?o@?E?G?W?_?_@?@o@??O?_?K?G?@_@??C?C??W?G??W?G??K?C??B?@???O?G??B??_??E?@???E?@???B??_???_?G???M?@????O?K???@_?G???@_?G????o?C????G?@????B??G????M??_????K?@?????K?@?????C??_????B_?G?????K?@??????w?C??????g?G??????[?G??????F?C???????b@???????N_G???????AN????????N`,4,5
116,~?@ssP@@?OC?O`?@?@_?O?A@?W??_??_??O??C??@_??C???G@??G???C???@????G???@_???A????A?G??B?????_????C?????O?????o?????_?????O?_???K?????@_?????C??????G??????G??????C??????@???????G??????@_??????B???????A???????@??_?????O???????A????????G????????O????????O?G??????W????????E?????????o????????B?????????E?????????C?????????A??????????_?????????C?@????????W??????????_??????????_?G????????o??????????K???????????_??????????A???????????C?@?????????C???????????A????????????_???????????C????????????o???????????@_????????????_????????????O?C??????????C?@???????????_????????????A?????????????C?@???????????C?@???????????E??????????????o?????????????E??????????????W??????????????o??????????????_??????????????O?C????????????C???????????????_?G????????????@???????????????A?@?????????????E????????????????_???????????????G???????????????@?@??????????????C?C??????????????G????????????????G?G??????????????C????????????????@_????????????????E?????????????????G?????????????????W?????????????????W?????????????????B??????????????????W?????????????????AO?????????????????KC?????????????????K??????????????????E??????????????????@K,{|eMID@WH?e@C@E?`?GW@@?CE?GE?GB?C?_@?M?G?O?_@_@?@_@??_?_?W?G?B?@??K?C??W?G??O?G??W?C??E?@???o?G??B??_??C?@???M?@???A??_??@_?G???M?@????O?C???@o?G????o?G????W?C????E?@?????_?G????E??_????K?@?????M?@?????B??_?????w?G?????A?@??????]?C??????G?W??????]?G??????B_K???????OT???????F?G???????M?_???????MF,4,5
116,~?@ssP@@?OC?O`?@@@_?O?A@?W??_??_??O??C???_??A???C???C???A????_???K????_???@?G??B????@?????O@???E?????W?????_?????_@????o?????K?????@??????C??????G??????G??????C?C????@???????G???????_??????@???????@????????_???????G???????@????????C?C??????W????????W????????G????????A?@???????W????????@?????????A?@???????E?????????B??????????o?????????E??????????W??????????o??????????O??????????G??????????A?@?????????O??????????@???????????A?@?????????A???????????@????????????O?G?????????A????????????G????????????O????????????O????????????G?C??????????A?@???????????o????????????@_????????????A?????????????A?@???????????@_?????????????O?????????????A?@????????????K??????????????W??????????????W??????????????K???????????????_??????????????C???????????????O?_?????????????_@??????????????_???????????????O?_?????????????C????????????????_???????????????A?C??????????????C?G??????????????C????????????????B?????????????????o????????????????@?????????????????C?_???????????????K?????????????????K?????????????????@_?????????????????W?????????????????@_?????????????????B??????????????????B??????????????????@_??????????????????[,{|eMID@WH?e@C@E?`?GW@@?CF?GA?GB?C?_@?M?G?O?_@_@?@_@??_?_?W?G?B?@??G?C??w?G??O?G??[?C??A?@???o?G??B??_??C?@???M?@???A?@_??@_?G???M?@????O?C???@o?G????o?G????O?C????M?@?????_?G????F??_????E?@?????E?@?????B??_?????g?G?????Bo@??????A?K??????N?G??????A?W??????B_C???????OB???????F?G???????M@_???????LT,4,5
116,~?@ssP@@?PC?O`?@?@_?O?A??G??O??O??G??E???_??A?_?C???K???C???@?G??W???@????A?G??E????A?????_????C?????W?????_?????_?????O?????C??????_?????A??????C??????C?G????A??????@_??????K???????_??????@?@?????@???????@_???????W???????B????????K????????W????????O????????G?C??????B?????????O????????@?????????A?????????A?????????@_?????????O?????????A??????????G?C????????O??????????O??????????G?C????????A???????????O??????????@??_????????A???????????E???????????B????????????o???????????E????????????G????????????o????????????W????????????K????????????@_????????????G?????????????_?_??????????@_????????????@??????????????_?????????????G?G???????????@??????????????E??????????????G??????????????G??????????????C?C????????????@???????????????G?G?????????????_?_????????????@???????????????@?@??????????????_???????????????W???????????????@_???????????????E????????????????C????????????????K????????????????B?????????????????G????????????????@?G???????????????E?????????????????G?????????????????G@????????????????C?_???????????????@_G????????????????GG?????????????????_?????????????????@_G?????????????????o???????????????????s,{|eMID@WH_a@E@A?`_GG@@_CB?GB?G@?C?o@?E?G?W?_?_@?@_@??o?_?G?G?B_@??C?C??W?G??W?G??K?C??B?@???O?G??B??_??E?@???F?@???@??_???w?G???B?@????G?C????w?G????O?G????W?C????E?@?????o?G????B_?_????A?@?????E?@?????Bo?_?????G?W?????Bo@??????A?K??????M?G??????C?W??????E?C??????@o@???????F?G???????GF_???????tP,4,5
116,~?@ssP@@?PC?O`?@?@_?O?A??G??O??O??G??E???_??A???C???K???C???@?G??W???@????A?G??E????A?????_????C?G???o????@_????@??????_?????G?????@??????C??????G??????G??????C?C????@???????W???????_??????@???????@????????_???????W???????B????????K????????W????????W????????G????????A?@???????W????????@?????????A?????????A?@???????B??????????o?????????E??????????O??????????_??????????_?G????????O??????????C???????????_?G????????A???????????C???????????C?@?????????A???????????@_???????????C????????????O????????????_?G??????????_????????????O?C??????????K?????????????o????????????B?????????????B?????????????A?????????????@??_???????????W?????????????A??????????????K??????????????W??????????????K??????????????A???????????????_??????????????C?G?????????????O???????????????_@??????????????_@??????????????O???????????????C?G??????????????_???????????????E????????????????C????????????????C?G??????????????A?C??????????????@_????????????????E?????????????????C?????????????????G@????????????????K?????????????????C?????????????????@_G????????????????AA?????????????????G??????????????????WG?????????????????K???????????????????s,{|eMID@WH_a@E@A?`_GG@@_CB?GA?GB?C?_@?K?G?o?_@_@?@?@?@_?_?W?G?A?@??[?C??O?G??o?G??[?C??A?@???o?G??B??_??C?@???K?@???E??_??@o?G???C?@????w?C????o?G????_?G????w?C????C?@????@_?G????F??_????C?B?????M?@?????B??_?????o?G?????F_@??????C?K??????]?G??????C?W??????F?C???????_B???????L?G???????M@_???????LT,4,5
116,~?@ssP@@?PC?O`?@@@_?O?A??G??O??O??G??A???O??@???E???C???A?_?@_???G????_C??B????A????@?C???o????E?????O?????_?????_?????O?????C??????_?????A??????C??????C??????A???????_??????C???????O??????@_??????@_???????o???????K???????@_???????C????????G?G??????W????????K????????A?????????O?G??????B?????????E?????????E?????????A??????????_?????????C?@????????O??????????_??????????_?G????????O??????????C???????????_??????????A??_????????C???????????C???????????A??_?????????_???????????C????????????O?C?????????@_????????????o????????????W????????????B?????????????O????????????@??_??????????E?????????????B?????????????@??????????????O?G???????????B??????????????K??????????????G??????????????G??????????????C?C????????????@???????????????G?G?????????????_?_????????????@???????????????@????????????????_?_?????????????G?G?????????????@????????????????C?C??????????????G?G??????????????G?G??????????????K????????????????@_????????????????A?????????????????G?_???????????????o?????????????????G?????????????????C?_????????????????OG????????????????A??????????????????KC?????????????????G??????????????????KG?????????????????@g,{|eMID@WH_a@E@A?`_GG@@oC@?GB?G@?C?o@?E?G?W?_?_@?@_@??o?_?G?G?B?@??K?C??O?G??w?G??G?C??E?@???o?G??A??_??K?@???K?@???F??_???_?G???M?@????W?C????_?G???@_?G????w?C????C?@????@o?G????B??_????E?@?????E?@?????B??_?????{?G?????@?B??????N?C??????C?W??????K?G??????F?C???????w@???????B_G???????Eg_????????~,4,5
116,~?@ssP@H?OC?O`?@??_?G?B??G??O??O??G??E???_??A?_?K???G???C???@????W???@????A?G??E????A?????_@???C?????O?????_@????_?????o?????K?????@??????C??????G??????G??????C?C????@???????K???????_??????@?@?????@_???????_???????G???????@????????C?C??????W????????W????????G????????A?@???????W????????@?????????A?@???????A?????????@??????????O?G???????A??????????W??????????o??????????O??????????G??????????A?@?????????O??????????@???????????A?@?????????A???????????@_???????????O???????????A?@??????????K????????????O????????????O????????????G?C??????????A?@???????????o????????????@_????????????A?????????????A?@???????????@_?????????????O?????????????A?@????????????G??????????????O??????????????O?G????????????G?C????????????E???????????????G???????????????_??????????????@?@?????????????@?@??????????????_???????????????G?G?????????????@????????????????E????????????????K????????????????A????????????????@_????????????????W?????????????????_????????????????A?_???????????????E?????????????????E?????????????????@_?????????????????W?????????????????@_?????????????????B??????????????????B??????????????????@_??????????????????[,{|eMID`GH_a@E@A?`_GG@@_CB?GA?GB?C?o@?C?G?o?_@_@?@?@?@_?_?W?G?A?@??[?C??O?G??w?G??K?C??A?@???w?G??@_?_??A?@???E?@???B_?_???O?G???F?@????K?C????O?G????w?G????G?C????F?@?????W?G????@??_????F?@?????B?@?????@??_?????{?G?????@?B??????N?C??????C?W??????M?G??????A?K??????@o@???????E?W???????]?_???????Ij,0,0
116,~?@ssP@@?OC?O`?@?@_?O?A@?W??_??_??O??C??@_??C???G@??G???C???@????G???@_???A????A?G??B?????_????C?????O?????o?????_?????O?_???K?????@_?????C??????G??????G??????C??????@?@?????G??????@_??????B???????A???????@??_?????O???????A????????G????????O????????O?G??????W????????E?????????_????????A??_??????E?????????C?????????A??_???????_?????????C??????????W??????????o??????????o??????????W??????????A???????????O??????????@??_????????A???????????A???????????@??_?????????O???????????B????????????K????????????O????????????O?G??????????G????????????A?????????????O?G??????????@??_??????????E?????????????B?????????????@??????????????O?G???????????B??????????????G??????????????O?G????????????O??????????????G?C????????????B???????????????W???????????????O???????????????_???????????????_@??????????????O?_?????????????C????????????????_@??????????????A????????????????E????????????????A????????????????@?C???????????????W????????????????B?????????????????A?????????????????C@????????????????E?????????????????B??????????????????OG????????????????B??????????????????E??????????????????E??????????????????@G??????????????????s,{|eMID@WH?e@C@E?`?GW@@?CE?GE?GB?C?_@?M?G?O?_@_@?@_@??_?_?W?G?B?@??G?C??w?G??O?G??W?C??E?@???o?G??B??_??C?@???M?@???A?@_??@_?G???M?@????O?C???@o?G????o?G????O?C????M?@?????_?G????F??_????E?@?????E?@?????B??_?????g?G?????Bo@??????A?K??????N?G??????A?W??????B_C???????OB???????F?G???????M@_???????LT,4,5
116,~?@ssP@@?PC?O`?@?@_?O?A??G??O??O??G??E???_??A???C@??K???C???@?G??W???@????A?G??E????A?????_????C?????o?????_?????_?????O?_???C??????_?????A??????C??????C?G????A??????@_??????K???????_??????@???????@?@?????@_???????G???????@?@??????K????????W????????O????????G?C??????B?????????O????????@??_??????A?????????A?????????B??????????O?????????A??????????G?C????????O??????????O??????????G?C????????A???????????O??????????@??_????????A???????????B???????????@_???????????O???????????A????????????G?C??????????o????????????O????????????G?C??????????E?????????????W????????????@?????????????A?@???????????B?????????????@??????????????O?G???????????A??????????????G?C????????????o??????????????O??????????????K??????????????@???????????????G???????????????_?_????????????@?@?????????????@????????????????_?_?????????????G???????????????@_???????????????A????????????????E????????????????E????????????????@?C???????????????o????????????????@?????????????????C?_???????????????K?????????????????K?????????????????A?_???????????????@_?????????????????A@?????????????????K??????????????????K??????????????????AG??????????????????s,{|eMID@WH_a@E@A?`_GG@@_CB?GA?GB?C?o@?E?G?W?_?_@?@_@??o?_?G?G?B_@??C?C??W?G??W?G??K?C??A?@???o?G??B??_??F?@???B?@???@??_???w?G???B?@????G?C????w?G????O?G????[?C????B?@?????W?G????@??_????E?@?????E?@?????B_?_?????W?W?????A?@??????]?C??????G?W??????[?G??????C?K??????B_@???????M?W???????Oi_??????@u@,4,5
