n_c,fullerene_g6,dual_g6,depth_fullerene,depth_dual
112,~?@osP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????C????A?C??@_????G?????_?_??@?????B??????_?????G?????@??????E??????G??????G??????C??????@???????G?G?????_??????@_??????@????????_???????G?G?????B????????K????????O????????O?G??????G?C??????E?????????o????????A?????????C?@???????E?????????A??????????_?G???????C?@????????o??????????_??????????_?G????????O??????????C???????????O??????????@???????????A?@?????????A???????????@????????????O?G?????????A????????????C????????????G????????????G?G??????????E????????????@_????????????K?????????????o?????????????o?????????????_?????????????O?_???????????E??????????????o?????????????B??????????????A??????????????A?G????????????@???????????????O??????????????A?G?????????????G?_?????????????O???????????????O???????????????G?_?????????????A?G??????????????O???????????????@?C??????????????B????????????????B?????????????????W????????????????C?????????????????_G???????????????@_????????????????@?????????????????@@?????????????????o?????????????????CW?????????????????w,y|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??G?C??w?G??O?G??[?C??B?@???O?G??B??_??E?@???E?@???B??_???w?G???A?@????[?C????W?G????O?G????[?C????A?@?????{?G?????_@_????B?@?????B_@??????o?_?????M?G??????w@??????@_C??????A?G??????FOG???????WK???????FD????????^G,4,5
112,~?@osP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????C????A?C??@_????G?????_?_??@?????B??????_?????G?????@??????E??????G??????G?G????C??????@???????G???????_??????@_??????@????????_?_?????G?G?????B????????K????????O????????O?G??????G????????B?????????W????????@_????????B?????????A?????????@??_???????O?????????@??????????C?C????????G??????????G??????????E??????????@???????????G?G?????????_??????????@???????????@????????????_???????????K???????????@_???????????B????????????E????????????C????????????A?C???????????_????????????E?????????????W?????????????o?????????????o?????????????O?????????????C?G????????????_?????????????A?C????????????C??????????????C??????????????B???????????????o??????????????A???????????????G???????????????O@??????????????O???????????????K???????????????@_???????????????K????????????????o????????????????o????????????????o????????????????K????????????????B?????????????????GG????????????????_????????????????@_?????????????????_?????????????????O_????????????????BG?????????????????[,y|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@_@?@_@??o?_?K?G?@_@??E?C??G?G??[?G??E?C??@_@???K?G???o?_??@_@???@_@????o?_???K?G???@_@????E?C????K?G????G?G????M?C????@_@?????M?G?????W?_?????o@??????o@??????[?_?????B?G??????[@???????_C??????B_G??????@oW???????WS???????F`????????MW,4,5
112,~?@osP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O???@?C??E????E????B?????_????C?G???O????@_?????_?????O?????C?????@_?????A??????C??????C??????A???????_??????E???????O???????_@??????_@??????o???????K???????@????????C????????G?G??????W????????K????????B?????????W????????@?????????A?@???????A??????????_?????????G?G???????@??????????C??????????W??????????G??????????C??????????@???????????G???????????_??????????@???????????@_???????????o???????????E????????????o???????????A????????????E????????????E????????????B?????????????o????????????E?????????????W?????????????_?????????????_@????????????O?????????????C?G????????????_?????????????A??????????????K??????????????C??????????????A?C?????????????_??????????????C???????????????O?_?????????????_???????????????o???????????????K???????????????B????????????????O???????????????@_C??????????????@_???????????????@_????????????????W????????????????E?????????????????OG???????????????@?????????????????A_?????????????????_?????????????????O_????????????????BG?????????????????[,y|eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?o@?E?G?O?_@o@??_@??o?_?K?G?@_@??C?C??[?G??K?G??E?C??@_@???K?G???o?_??@?@???B_@????_@_???W?G???B?@????K?C????W?G????O?G????[?C????B?@?????[?G?????o?_????@_@?????@O@??????[?_?????B?G??????[@???????_C??????B_G??????@oW???????WS???????F`????????MW,4,4
112,~?@osP@@?OC?O`?@@@_?O?A@?W??_??_??O??C???_??A???C???C???A????_???K????_???@?G??B????@?????O@???E?????W?????_?????_@????o?????K?????@??????C??????G??????G??????C?C????@???????G???????_??????@???????@?@??????_???????G???????@????????C?C??????W????????W????????G????????A?@???????W????????@?????????A?@???????E?????????B??????????O?????????A?@????????W??????????o??????????O??????????G??????????A?@?????????O??????????@???????????A?@?????????A???????????@????????????O???????????A?@??????????G?C??????????O????????????O????????????G????????????A?@???????????o????????????@_????????????A?????????????A?@???????????@_?????????????O?????????????A?@????????????W??????????????K??????????????K??????????????E???????????????_??????????????C?G?????????????O?_?????????????_???????????????o???????????????G???????????????A????????????????W????????????????_???????????????@????????????????@?G???????????????W????????????????C?????????????????oG???????????????B?????????????????F?????????????????B??????????????????o?????????????????CG?????????????????T,y|eMID@WH?e@C@E?`?GW@@?CF?GA?GB?C?_@?M?G?O?_@_@?@_@??_?_?W?G?B?@??G?C??w?G??O?G??[?C??A?@???o?G??B??_??F?@???A?@???B??_???w?G???A?@????[?C????W?G????O?G????[?C????A?B?????w?G????@??_????F?@?????B_@??????_B_?????W?G?????B_@??????F?C??????E?G??????D?G??????@oC???????Hb????????Ng,4,5
112,~?@osP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????C????A?C??@_????G?????_?_??@?????B??????_?????G?????@??????E??????G??????G??????C??????@???????G?G?????_??????@_??????@????????_?_?????G?G?????B????????K????????O????????O?G??????G?C??????E?????????o????????A?????????C?@???????E?????????A??????????_?G???????C??????????G??????????O??????????O??????????G??????????@???????????G???????????_?_????????@???????????@????????????_?_?????????G???????????@_???????????E????????????K????????????K????????????E????????????@_????????????K?????????????W?????????????_?????????????_@????????????W?????????????C??????????????_@????????????A??????????????C??????????????C?G????????????A???????????????_??????????????C?G?????????????O?_?????????????_???????????????o???????????????G???????????????B????????????????W????????????????o???????????????@_????????????????W????????????????G????????????????B@????????????????W?????????????????_????????????????@@????????????????@_?????????????????O?????????????????BG?????????????????M,y|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??G?C??w?G??O?G??[?C??B?@???W?G??@_?_??B?@???B?@???@o?_???G?G???B_@????E?C????G?G????[?G????C?K????B_@?????K?G?????o?_????@_@?????@_@??????w?_?????F?G??????W@??????@OC??????@oG???????oW???????[C???????Bp????????Ew,4,5
112,~?@osP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????C????A?C??@_????G?????_?_??@?????B??????_?????G?????@??????E??????G??????G??????C??????@???????G?G?????_??????@_??????@????????_?_?????G?G?????B????????K????????O????????O?G??????G?C??????E?????????o????????A?????????C?@???????E?????????A??????????_?G???????C??????????G??????????O??????????O??????????G??????????@???????????G???????????_?_????????@???????????@????????????_?_?????????G???????????@_???????????E????????????K????????????K????????????E????????????@_????????????K?????????????W?????????????_?????????????_@????????????W?????????????C??????????????_@????????????A??????????????C??????????????C?G????????????A???????????????_@?????????????C???????????????O?_?????????????_???????????????o???????????????G???????????????B????????????????W????????????????o????????????????o????????????????W????????????????G????????????????B@????????????????W?????????????????_????????????????@@????????????????@@?????????????????__????????????????GG?????????????????p,y|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??G?C??w?G??O?G??[?C??B?@???W?G??@_?_??B?@???B?@???@o?_???G?G???B_@????E?C????G?G????[?G????C?K????B_@?????K?G?????o?_????@_@?????@_@??????w?_?????C?W?????@o@??????B?C??????D?G??????B_G???????oK???????M`????????NW,4,4
112,~?@osP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????C????A?C??@_????G?????_?_??@?????B??????_?????G?????@??????E??????G??????G??????C??????@???????G???????_??????@_??????@????????_?_?????G?G?????B????????K????????O????????O?G??????G?C??????E?????????o????????A?????????C?@???????K?????????E?????????@??????????G?@????????_??????????_??????????_??????????O??????????C???????????O??????????@???????????A?@?????????A???????????@????????????O???????????A?@??????????G????????????W????????????W????????????K????????????B?????????????W????????????@_????????????B?????????????@_?????????????_?????????????G?G???????????B??????????????E??????????????K??????????????C??????????????A???????????????_@?????????????C???????????????O?_?????????????_???????????????_@??????????????O?_?????????????C????????????????_@??????????????A?C??????????????E????????????????E????????????????@_????????????????K?????????????????O????????????????@?_???????????????@_?????????????????_?????????????????O_????????????????EG?????????????????[,y|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??G?C??o?G??o?G??O?C??M?@???o?G??B??_??E?@???E?@???B??_???w?G???A?@????[?C????W?G????O?G????W?C????F?@?????O?G????B_?_????B?B?????B?@?????@_?_?????W?G?????B_@??????C?K??????]?G??????C?W??????F_C???????UB????????yg,4,5
112,~?@osP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G???K???A????O@??@????E????C????A?C??@_????G?????_?_??@?????B?????@_?????O?????A?@????G??????W??????O??????G??????A???????O??????@??_????A???????B???????@????????O?G?????A????????G????????W????????O????????G?C??????A?@???????o????????B?????????C?????????C?@???????B??????????_?????????C?@????????O??????????o??????????o??????????O??????????C?@?????????_??????????@???????????A???????????A?@?????????@????????????O???????????A?@??????????G????????????W????????????O????????????G?C??????????A?????????????O????????????@_????????????B?????????????B??????????????o?????????????G?????????????@?@????????????E??????????????G??????????????G?G????????????C?C????????????@_??????????????K???????????????o???????????????_???????????????_???????????????O?_?????????????C?G??????????????o???????????????@????????????????@????????????????@?G???????????????_C???????????????K????????????????@_????????????????@?????????????????B@????????????????B??????????????????W?????????????????B??????????????????F,y|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?G?G@_?_B?@?B?@?@_?_?O?G?E?@??W?C??_?G?@o?G??O?C??M?@???o?G??B??_??E?@???C?@???F??_???o?G???F?@????G?C????w?G????W?G????G?C????F?@?????O?W????B_?_????B?@?????B?@?????@_?_?????O?G?????F?@??????M?K??????G?g??????]?G??????A_K???????]@????????xW,0,0
112,~?@osP@@?OC?O`?@@@_?O?A@?W??_??_??O??C???_??A???C???C???A????_???K????_???@?G??B????@?????O@???E?????W?????_?????_@????o?????K?????@??????C??????G??????G??????C?C????@???????G???????_??????@???????@?@??????_???????G???????@????????C?C??????W????????W????????G????????A?@???????W????????@?????????A?@???????E?????????B??????????O?????????A?@????????W??????????o??????????O??????????G??????????A?@?????????O??????????@???????????A?@?????????A???????????@????????????O???????????A?@??????????G?C??????????O????????????O????????????G????????????A?@???????????o????????????@_????????????A?????????????A?@???????????@_?????????????O?????????????A?@????????????W??????????????G??????????????G?G????????????K??????????????B???????????????G???????????????_??????????????@?@?????????????@?@??????????????o???????????????C????????????????_???????????????B?C??????????????A????????????????A?G??????????????@_????????????????W?????????????????_????????????????B?_???????????????C?????????????????D@?????????????????o?????????????????E??????????????????J,y|eMID@WH?e@C@E?`?GW@@?CF?GA?GB?C?_@?M?G?O?_@_@?@_@??_?_?W?G?B?@??G?C??w?G??O?G??[?C??A?@???o?G??B??_??F?@???A?@???B??_???w?G???A?@????[?C????W?G????O?G????[?C????A?B?????w?G????@??_????F?@?????B_@??????_?_?????W?G?????B_@??????C?K??????]?G??????D?W??????@oC???????N@????????Yw,0,0
112,~?@osP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????C????A?C??@_????G?????_?_??@?????B??????_?????G?????@??????E??????G??????G??????C??????@???????G?G?????_??????@_??????@????????_???????G?G?????B????????K????????O????????O?G??????G?C??????E?????????o????????A?????????C?@???????E?????????A??????????_?G???????C?@????????o??????????_??????????_??????????O??????????C???????????O??????????@???????????A?@?????????A???????????@????????????O?G?????????A????????????C????????????G????????????G?G??????????K????????????B?????????????W????????????@_????????????B?????????????@_?????????????_?????????????G?G???????????@_?????????????E??????????????K??????????????C??????????????A???????????????_@?????????????C???????????????O?_?????????????_???????????????_@??????????????O?_?????????????C????????????????_@??????????????A?C??????????????E????????????????E????????????????@_????????????????K?????????????????O????????????????@?_???????????????@_?????????????????_?????????????????O_????????????????EG?????????????????[,y|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@_@?@_@??_?_?W?G?B?@??G?C??w?G??O?G??[?C??B?@???O?G??B??_??E?@???E?@???B??_???w?G???A?@????[?C????W?G????O?G????[?C????A?@?????{?G?????_@_????B?@?????B?@?????@_?_?????W?G?????B_@??????C?K??????]?G??????C?W??????FOC???????MB????????yg,4,5
