n_c,fullerene_g6,dual_g6,depth_fullerene,depth_dual
118,~?@usP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G???K???A????O???@?C??E????E????B?????_????C?G???O????@_????@_?????_?????G?G???@??????K??????G??????G??????C??????@???????G???????o??????@???????@????????_???????G???????@_???????C????????G?G??????G?G??????K????????B?????????W????????@_????????A?????????A?@???????@??_???????o?????????E??????????W??????????_??????????_?G????????O??????????A???????????O??????????@???????????A???????????A???????????@????????????G???????????@????????????C????????????G?G??????????G????????????E????????????@_????????????K?????????????o????????????@_????????????@_?????????????o?????????????K?????????????@_?????????????E??????????????E??????????????C??????????????A?C?????????????_??????????????C???????????????O?_?????????????_???????????????_???????????????O???????????????C?G??????????????_???????????????A?C??????????????C?G??????????????C????????????????B?????????????????o????????????????B?????????????????K?????????????????W?????????????????K?????????????????@_?????????????????O?????????????????A@?????????????????GC?????????????????OG?????????????????OG?????????????????G??????????????????B@??????????????????Go,||eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?_@?K?G?o?_@?@?B_@??_?_?W?G?B?@??K?C??O?G??w?G??K?C??A?@???o?G??B??_??C?@???M?@???B??_???w?G???A?@????W?C????o?G????o?G????W?C????C?@????@w?G????@?@_????E?@?????F?@?????@??_?????w?G?????B_@??????C?C??????[?G??????K?G??????E?C??????@g@???????BoG???????AB_???????N@????????Br,4,5
118,~?@usP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O???@?C??E????E????B?????_????C?G???O????@_?????_?????O?????C?????@_?????A??????C??????C??????A???????_??????E???????O???????_???????_@??????o???????K???????@????????C????????G?G??????W????????K????????B?????????W????????@?????????A?@???????A?@???????B??????????O?????????A?@????????G??????????O??????????o??????????G??????????A???????????O??????????@???????????A???????????A????????????_???????????G???????????@?@??????????E????????????K????????????G????????????E????????????@_????????????K?????????????o????????????@_????????????@_?????????????o?????????????K??????????????_?????????????A?C????????????C??????????????C??????????????E???????????????_??????????????C?G?????????????O???????????????_???????????????_???????????????O?_?????????????C????????????????_@??????????????B????????????????E????????????????C????????????????B?C???????????????W????????????????B?????????????????K?????????????????K?????????????????C?????????????????A?_????????????????_?????????????????D??????????????????C??????????????????G??????????????????KG?????????????????B???????????????????w??????????????????BO,||eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?o@?E?G?O?_@o@??_@??o?_?K?G?@_@??C?C??[?G??K?G??C?C??B?@???W?G??@_?_??B?@???A?@???B_?_???O?W???E?@????W?C????o?G????o?G????O?C????N?@?????O?W????B??_????F?@?????B?@?????@_?_?????S?G?????@o@??????B?C??????E?G??????E_G???????oC???????M@????????oG???????Bo_???????@b????????@|,4,5
118,~?@usP@@?OC?O`?@?@_?O?A??W??_??_??O??C@?@_??C???G???G???K???A????O???@?C??E????C????A?C???_????C?????O?_??@_????@_?????_?????G?G???@??????K??????G??????G??????C??????@???????G?G????@_??????@???????@????????_???????G???????@_???????C????????G?G??????G?G??????K????????B?????????O????????@??_??????A?????????A?@???????@??_???????o?????????E??????????W??????????_??????????_?G????????O??????????A???????????O??????????@???????????A???????????A???????????@??_?????????G???????????@????????????C????????????G?G??????????G????????????E????????????@_????????????K?????????????o????????????@_????????????@??????????????_?_???????????K?????????????@_?????????????E??????????????E??????????????C??????????????A?C?????????????_??????????????C???????????????O?_?????????????_???????????????_???????????????O???????????????C?G??????????????_???????????????A?C??????????????C?G??????????????C????????????????B?????????????????o????????????????B?????????????????K?????????????????W?????????????????K?????????????????@_?????????????????O?????????????????A@?????????????????GC?????????????????OG?????????????????OG?????????????????G??????????????????B@??????????????????Go,||eMID@WH?e@C@E?`?GW@@_CB?GA?GB?C?_@?K?G?o?_@?@?B_@??_?_?W?G?B?@??G?C??o?G??o?G??[?C??A?@???o?G??B??_??C?@???M?@???B??_???w?G???A?@????W?C????o?G????o?G????O?C????K?@????@w?G????@?@_????E?@?????F?@?????@??_?????w?G?????B_@??????C?C??????[?G??????K?G??????E?C??????@g@???????BoG???????AB_???????N@????????Br,4,5
118,~?@usP@@?PC?O`?@?@_?O?A??G??O??O??GC?E???_??A?_?C???K???C???@?G??W???@????A?G??A????@?????O????B?????G?????O?????O?????G?????A??????O?????@??????A?G????E??????B???????_??????C?G?????O?_????@_??????@_???????_???????G?G?????B????????K????????O????????O?G??????G????????A?@???????O????????@?????????@?????????@??????????_?????????G?????????@??????????C??????????G??????????G??????????C??????????@?@?????????K???????????o??????????@_??????????@_???????????o???????????K???????????@_???????????E????????????K????????????K????????????C????????????@?@???????????G?????????????_?_??????????@?????????????@??????????????_?_???????????G?????????????@??????????????C??????????????G??????????????G?G????????????C??????????????@???????????????G???????????????_?_????????????@_??????????????@_???????????????W???????????????E????????????????o???????????????B????????????????B????????????????B????????????????@_????????????????G????????????????@?G???????????????C?_???????????????G@????????????????G?????????????????C?????????????????@?G????????????????G@?????????????????_C????????????????@??????????????????@?G?????????????????KC?????????????????B???????????????????BG,||eMID@WH_a@E@A?`_GK@?oC@_G@?G@_C?W@?B?G?G?_?o@??o@??O?_?K?G?@_@??E?C??K?G??K?G??E?C??@_@???K?G???o?_??@?@???B?@???@_?_???W?G???A?@????W?C????w?G????W?G????K?C????B?@?????W?G????@_?_????B_@?????@?@?????@o?_?????K?G?????@_@??????E?C??????M?G??????E?G??????B_C???????W@???????B_G???????F__???????BF????????Bx,4,5
118,~?@usP@@?OC?O`?@?@_?O?A??W??_??_??O??C@?@_??C???G???G@??K???A????O???@?C??E????C????A?C???_????C?????O?_??@_?????_?????O?????C?????@_?????A??????C??????C??????A???????_@?????K???????O???????_???????_@??????o???????K???????@????????C????????G?G??????W????????K????????A?????????O?G??????@?????????A?@???????A?@???????B??????????O?????????A??????????G?C????????O??????????o??????????G??????????A???????????O??????????@???????????A???????????A?@??????????_???????????G???????????@?@??????????K????????????K????????????G????????????C?C??????????@?@???????????W????????????@_????????????B?????????????A?????????????@??_???????????W?????????????B??????????????C??????????????G??????????????G?G????????????C???????????????_??????????????C???????????????O?_?????????????_???????????????_???????????????O???????????????C?G??????????????o???????????????B????????????????B????????????????B????????????????@_????????????????K????????????????@_????????????????E?????????????????E?????????????????A?????????????????@?_????????????????O?????????????????A@?????????????????GC?????????????????OG?????????????????O??????????????????KC?????????????????@_??????????????????@g,||eMID@WH?e@C@E?`?GW@@_CB?GA?GB?C?o@?E?G?O?_@o@??_@??o?_?K?G?@?@??K?C??W?G??[?G??C?C??B?@???W?G??@_?_??B?@???A?@???B_?_???O?G???E?@????W?C????o?G????_?G????o?C????N?@?????O?W????B??_????E?@?????F?@?????@_?_?????[?G?????@?@??????M?C??????K?G??????K?G??????E_C???????[@???????@oG???????B__???????Bp?????????~,3,2
118,~?@usP@@?OC?O`?@?@_?O?A??W??_??_??O??C@?@_??C???G???G@??K???A????O???@?C??E????C????A?C???_????C?????O?_??@_?????_?????O?????C?????@_?????A??????C??????C??????A???????_@?????K???????O???????_???????_@??????o???????K???????@????????C????????G?G??????W????????K????????A?????????O?G??????@?????????A?@???????A?@???????B??????????O?????????A?@????????G??????????O??????????o??????????G??????????A???????????O??????????@???????????A???????????A?@??????????_???????????G???????????@?@??????????E????????????K????????????G????????????E????????????@_????????????K?????????????o????????????@?????????????@?@????????????o?????????????K??????????????_?????????????A?C????????????C??????????????C??????????????E???????????????_??????????????C?G?????????????O???????????????_???????????????_???????????????O?_?????????????C????????????????_@??????????????B????????????????E????????????????C????????????????B?C???????????????W????????????????B?????????????????K?????????????????K?????????????????C?????????????????A?_????????????????_?????????????????D??????????????????C??????????????????G??????????????????KG?????????????????B???????????????????w??????????????????BO,||eMID@WH?e@C@E?`?GW@@_CB?GA?GB?C?o@?E?G?O?_@o@??_@??o?_?K?G?@?@??K?C??W?G??[?G??C?C??B?@???W?G??@_?_??B?@???A?@???B_?_???O?W???E?@????W?C????o?G????_?G????o?C????N?@?????O?W????B??_????F?@?????B?@?????@_?_?????S?G?????@o@??????B?C??????E?G??????E_G???????oC???????M@????????oG???????Bo_???????@b????????@|,4,5
118,~?@usP@@?OC?O`?@?@_?O?A??W??_??_??O??C@?@_??C???G???G@??K???A????O???@?C??E????C????A?C???_????C?????O?_??@_?????_?????O?????C?????@_?????A??????C??????C??????A???????_@?????K???????O???????_???????_@??????o???????K???????@????????C????????G?G??????W????????K????????A?????????O?G??????@?????????A?@???????A?@???????B??????????O?????????A??????????G??????????O??????????o??????????G??????????A???????????O??????????@???????????A???????????A?@??????????_???????????G???????????@?@??????????K????????????W????????????W????????????G????????????B?????????????W????????????@_????????????B?????????????A?????????????@??_???????????W?????????????B??????????????C??????????????G??????????????G?G????????????C??????????????@?@?????????????W???????????????_??????????????@?@?????????????@????????????????_???????????????G???????????????@?@??????????????E????????????????K????????????????E????????????????@?????????????????W????????????????@_????????????????E?????????????????K?????????????????E?????????????????@??????????????????OG????????????????A@?????????????????W??????????????????OG?????????????????OG?????????????????G??????????????????B@??????????????????Co,||eMID@WH?e@C@E?`?GW@@_CB?GA?GB?C?o@?E?G?O?_@o@??_@??o?_?K?G?@?@??K?C??W?G??[?G??C?C??B?@???W?G??@_?_??B?@???A?@???B_?_???O?W???E?@????W?C????o?G????_?G????o?C????N?@?????O?W????B??_????E?@?????E?@?????B??_?????o?G?????D?@??????M?C??????K?G??????K?G??????E_C???????[@???????@oG???????B__???????Bp?????????~,4,5
118,~?@usP@@?PC?O`?@@@_?O?A??G??O??O??G??A???O??@???E???C???A?_?@_???K????o???@????@?G??@_????W????A?????G?????O?????O?????G?????A??????O?????@??????A??????A??????@???????O??????E???????W???????_???????_@??????o???????K???????@_???????E????????G????????G?G??????K????????B?????????W????????@?????????A?@???????A?????????@??_???????O?????????A??????????G??????????O??????????O??????????G??????????A???????????O??????????@??_????????A???????????A???????????@_???????????G???????????@?@??????????K????????????W????????????W????????????K????????????B?????????????O????????????@??_??????????E?????????????B?????????????@_?????????????O?????????????A?@????????????G?C????????????O??????????????O??????????????G?C????????????A???????????????O??????????????@??_????????????A???????????????A???????????????@??_?????????????O?G?????????????A?@??????????????G????????????????G????????????????G?G??????????????K????????????????@_????????????????K?????????????????W?????????????????_?????????????????_@????????????????E?_???????????????@_?????????????????C??????????????????OC?????????????????_G?????????????????_G?????????????????OC?????????????????C_??????????????????CW,||eMID@WH_a@E@B?__GM@?OC@_G@?G@_C?W@?B?G?G?_?o@??o@??W?_?C?G?@o@??A?C??K?G??K?G??C?C??B?@???W?G??@_?_??B?@???A?@???B??_???o?G???E?@????W?C????_?G???@o?G????O?C????M?@?????o?G????A??_????M?@?????F?@?????@_?_?????O?G?????F?@??????K?C??????[?G??????G?G??????M?C??????@w@???????A?w???????]?_???????KR????????N`,4,5
118,~?@usP@@?PC?O`?@@@_?O?A??G??O??O??G??A???O??@???E???C???A?_?@_???K????o???@????@?G??@_????W????A?????G?????O?????O?????G?????A??????O?????@??????A??????A??????@???????O@?????E???????W???????_???????_@??????o???????K???????@_???????E????????G????????G?G??????K????????B?????????G?????????_????????@?????????@??????????_?????????G?????????@??????????C??????????G??????????G??????????C??????????@???????????G?G?????????_?_????????B???????????B???????????@_???????????W???????????B????????????K????????????W????????????W????????????K????????????A?????????????O?G??????????B?????????????@?????????????@?@????????????_?????????????G?????????????@??????????????C??????????????G?G????????????G??????????????C??????????????@?@?????????????G???????????????_??????????????@_???????????????o???????????????W???????????????E????????????????o???????????????@_???????????????B????????????????@_????????????????o????????????????K?????????????????_G???????????????A?????????????????C?????????????????C@????????????????A?_????????????????_?????????????????C@?????????????????O??????????????????WG?????????????????W??????????????????B???????????????????W???????????????????w,||eMID@WH_a@E@B?__GM@?OC@_G@?G@_C?W@?B?G?G?_?o@??o@??W?_?C?G?@o@??A?C??K?G??K?G??E?C??@_@???K?G???o?_??@?@???B?@???@_?_???W?G???B?@????G?C????w?G????O?G????[?C????B?@?????W?G????@_?_????B_@?????@?@?????@o?_?????K?G?????@o@??????A?C??????M?G??????C?W??????F_C???????WB???????B_G???????F?_???????F@????????An,4,5
118,~?@usP@@?PC?O`?@?@_?O?A??G??O??O??G??E???_??A???C???K???C???@?G??W???@_???B????A????@?????O@???E?????W?????_?????_?????O?????C??????_?????A??????C??????C??????E???????_??????C???????O???????_@?????@_???????o???????G???????@?@??????K????????W????????W????????K????????A?????????O????????@??_??????E?????????E?????????@??????????O?????????A??????????G??????????O??????????O??????????G??????????A???????????O??????????@???????????E???????????A???????????@????????????O?G?????????A?@??????????W????????????o????????????o????????????W????????????E?????????????o????????????B?????????????E?????????????E?????????????A??????????????o?????????????E??????????????C??????????????G?G????????????G??????????????C??????????????@???????????????G???????????????_?_????????????@???????????????@????????????????_?_?????????????G???????????????B????????????????E????????????????E????????????????E????????????????B?????????????????o????????????????B?????????????????K?????????????????K?????????????????G?????????????????E??????????????????_W????????????????CC?????????????????O??????????????????_G?????????????????_G?????????????????OC?????????????????C@??????????????????EG,||eMID@WH_a@E@B?__GK@?oC@?GB?G@?C?o@?E?G?W?_?_@?@_@??o?_?K?G?@?@??K?C??[?G??G?G??K?C??B?@???W?G??@_?_??B?@???B?@???@??_???o?G???E?@????W?C????o?G????_?G????o?C????M?@?????_?W????F??_????E?@?????E?@?????B??_?????w?G?????A?@??????[?C??????W?G??????[?G??????C?C??????BO@???????F_G???????EB_???????MH????????Fp,4,5
